# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"1 ","Djokovic, Novak","$9,934,582 ","$9,934,582 ",$0,"$164,691,308"
"2 ","Alcaraz, Carlos","$7,655,130 ","$7,627,613 ","$27,517","$9,382,442"
"3 ","Nadal, Rafael","$7,442,076 ","$7,440,806 ","$1,270","$132,403,671"
"4 ","Ruud, Casper","$6,942,316 ","$6,930,042 ","$12,274","$11,868,736"
"5 ","Tsitsipas, Stefanos","$5,648,416 ","$5,479,442 ","$168,974","$22,165,629"
"6 ","Fritz, Taylor","$4,570,481 ","$4,489,807 ","$80,674","$10,062,141"
"7 ","Rublev, Andrey","$4,229,954 ","$4,106,247 ","$123,707","$14,546,458"
"8 ","Auger-Aliassime, Felix","$4,186,042 ","$4,107,342 ","$78,700","$9,588,345"
"9 ","Medvedev, Daniil","$4,178,524 ","$4,146,312 ","$32,212","$26,600,381"
"10 ","Kyrgios, Nick","$3,490,464 ","$2,916,349 ","$574,115","$12,478,415"
"11 ","Hurkacz, Hubert","$3,419,164 ","$3,011,575 ","$407,589","$8,485,476"
"12 ","Norrie, Cameron","$2,928,356 ","$2,846,575 ","$81,781","$7,950,472"
"13 ","Carreno Busta, Pablo","$2,885,865 ","$2,842,960 ","$42,905","$15,106,842"
"14 ","Sinner, Jannik","$2,855,466 ","$2,818,491 ","$36,975","$6,587,168"
"15 ","Zverev, Alexander","$2,678,178 ","$2,585,002 ","$93,176","$32,905,055"
"16 ","Shapovalov, Denis","$2,595,551 ","$2,409,460 ","$186,091","$10,144,348"
"17 ","Rune, Holger","$2,384,089 ","$2,335,215 ","$48,874","$2,767,278"
"18 ","Berrettini, Matteo","$2,193,774 ","$2,183,648 ","$10,126","$10,518,790"
"19 ","Tiafoe, Frances","$2,106,104 ","$2,032,406 ","$73,698","$7,252,175"
"20 ","de Minaur, Alex","$2,057,316 ","$1,990,039 ","$67,277","$7,841,472"
"21 ","Schwartzman, Diego","$2,004,231 ","$1,863,280 ","$140,951","$12,896,389"
"22 ","Khachanov, Karen","$1,985,393 ","$1,889,330 ","$96,063","$12,226,024"
"23 ","Cilic, Marin","$1,971,088 ","$1,955,408 ","$15,680","$31,181,242"
"24 ","Bautista Agut, Roberto","$1,804,064 ","$1,787,924 ","$16,140","$16,634,876"
"25 ","Evans, Daniel","$1,790,187 ","$1,612,801 ","$177,386","$6,284,257"
"26 ","Isner, John","$1,668,178 ","$1,076,536 ","$591,642","$21,780,462"
"27 ","Nakashima, Brandon","$1,662,689 ","$1,646,923 ","$15,766","$2,471,463"
"28 ","Davidovich Fokina, Alejandro","$1,662,555 ","$1,531,719 ","$130,836","$3,522,215"
"29 ","Musetti, Lorenzo","$1,661,181 ","$1,620,201 ","$40,980","$2,710,164"
"30 ","Coric, Borna","$1,603,586 ","$1,603,586 ",$0,"$10,112,755"
"31 ","Kecmanovic, Miomir","$1,560,836 ","$1,492,670 ","$68,166","$4,124,762"
"32 ","Dimitrov, Grigor","$1,540,569 ","$1,488,481 ","$52,088","$21,958,744"
"33 ","Paul, Tommy","$1,539,608 ","$1,408,362 ","$131,246","$3,709,970"
"34 ","Ram, Rajeev","$1,510,408 ","$30,000 ","$1,480,408","$8,067,798"
"35 ","Salisbury, Joe","$1,510,348 ","$0 ","$1,510,348","$3,881,356"
"36 ","van de Zandschulp, Botic","$1,474,274 ","$1,378,752 ","$95,522","$2,489,851"
"37 ","Garin, Cristian","$1,413,284 ","$1,408,343 ","$4,941","$5,009,483"
"38 ","Goffin, David","$1,269,844 ","$1,268,574 ","$1,270","$16,471,225"
"39 ","Bublik, Alexander","$1,252,206 ","$1,134,816 ","$117,390","$4,241,652"
"40T ","Koolhof, Wesley","$1,219,027 ","$0 ","$1,219,027","$2,939,519"
"40T ","Skupski, Neal","$1,219,027 ","$0 ","$1,219,027","$2,599,842"
"42 ","Sonego, Lorenzo","$1,210,391 ","$1,087,388 ","$123,003","$4,318,297"
"43 ","Fognini, Fabio","$1,199,767 ","$875,606 ","$324,161","$17,510,546"
"44 ","Cerundolo, Francisco","$1,179,166 ","$1,113,269 ","$65,897","$1,559,909"
