# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
"Page 1 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"45 ","Basilashvili, Nikoloz","$1,155,830 ","$1,061,681 ","$94,149","$8,581,533"
"46 ","Cressy, Maxime","$1,146,312 ","$1,080,806 ","$65,506","$1,778,780"
"47 ","Kokkinakis, Thanasi","$1,134,903 ","$590,958 ","$543,945","$2,800,187"
"48 ","McDonald, Mackenzie","$1,131,732 ","$991,866 ","$139,866","$3,691,568"
"49 ","Ramos-Vinolas, Albert","$1,118,452 ","$957,144 ","$161,308","$9,850,134"
"50 ","Korda, Sebastian","$1,103,155 ","$1,070,744 ","$32,411","$2,676,567"
"51 ","Krajinovic, Filip","$1,097,308 ","$1,069,728 ","$27,580","$5,846,025"
"52 ","Mannarino, Adrian","$1,084,449 ","$980,387 ","$104,062","$9,620,632"
"53 ","Brooksby, Jenson","$1,062,932 ","$1,062,932 ",$0,"$1,843,266"
"54 ","Martinez, Pedro","$1,060,630 ","$815,619 ","$245,011","$2,754,171"
"55 ","Karatsev, Aslan","$1,045,477 ","$938,837 ","$106,640","$3,368,149"
"56 ","Ruusuvuori, Emil","$1,029,911 ","$995,458 ","$34,453","$2,143,427"
"57 ","Pavic, Mate","$1,026,041 ","$0 ","$1,026,041","$5,113,571"
"58 ","Mektic, Nikola","$1,006,438 ","$0 ","$1,006,438","$4,192,576"
"59 ","Nishioka, Yoshihito","$981,373 ","$946,014 ","$35,359","$4,398,435"
"60 ","Murray, Andy","$933,978 ","$933,978 ",$0,"$63,248,285"
"61 ","Molcan, Alex","$928,267 ","$908,924 ","$19,343","$1,362,138"
"62 ","Baez, Sebastian","$926,683 ","$888,761 ","$37,922","$1,247,486"
"63 ","Giron, Marcos","$924,238 ","$861,391 ","$62,847","$2,630,727"
"64 ","Lajovic, Dusan","$895,547 ","$854,402 ","$41,145","$7,857,157"
"65 ","Draper, Jack","$883,005 ","$882,161 ",$844,"$1,085,063"
"66 ","Opelka, Reilly","$881,496 ","$874,633 ","$6,863","$4,224,870"
"67 ","Rinderknech, Arthur","$869,291 ","$827,542 ","$41,749","$1,683,355"
"68 ","Otte, Oscar","$859,987 ","$816,158 ","$43,829","$1,939,160"
"69 ","Humbert, Ugo","$853,469 ","$826,460 ","$27,009","$3,362,711"
"70 ","Purcell, Max","$843,079 ","$243,157 ","$599,922","$1,775,238"
"71 ","Kwon, Soonwoo","$841,992 ","$781,001 ","$60,991","$2,300,615"
"72 ","Bonzi, Benjamin","$827,289 ","$768,834 ","$58,455","$1,772,047"
"73T ","Arevalo, Marcelo","$815,215 ","$0 ","$815,215","$1,770,777"
"73T ","Rojer, Jean-Julien","$815,215 ","$0 ","$815,215","$6,404,820"
"75 ","Gasquet, Richard","$814,218 ","$807,643 ","$6,575","$19,855,814"
"76 ","Delbonis, Federico","$812,873 ","$730,622 ","$82,251","$6,010,179"
"77 ","Munar, Jaume","$812,098 ","$755,098 ","$57,000","$2,994,151"
"78 ","Lehecka, Jiri","$805,667 ","$793,848 ","$11,819","$952,333"
"79 ","Djere, Laslo","$796,173 ","$764,798 ","$31,375","$3,920,936"
"80 ","Griekspoor, Tallon","$777,905 ","$719,705 ","$58,200","$1,562,602"
"81 ","Ivashka, Ilya","$774,184 ","$751,088 ","$23,096","$2,645,360"
"82 ","Vesely, Jiri","$772,600 ","$734,492 ","$38,108","$5,554,625"
"83 ","Johnson, Steve","$742,606 ","$683,610 ","$58,996","$7,840,167"
"84 ","Monfils, Gael","$741,855 ","$729,145 ","$12,710","$20,983,413"
"85 ","Fucsovics, Marton","$734,207 ","$702,250 ","$31,957","$5,440,121"
"86 ","Sock, Jack","$726,197 ","$396,917 ","$329,280","$11,810,648"
"87 ","Sousa, Joao","$725,988 ","$636,911 ","$89,077","$8,100,715"
"88 ","Ebden, Matthew","$714,789 ","$58,827 ","$655,962","$4,417,796"
"Page 2 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"89 ","Majchrzak, Kamil","$713,922 ","$690,601 ","$23,321","$1,949,805"
"90 ","Ymer, Mikael","$692,000 ","$689,504 ","$2,496","$2,209,405"
"91 ","Gaston, Hugo","$681,643 ","$631,992 ","$49,651","$1,614,144"
"92 ","Moutet, Corentin","$680,435 ","$680,435 ",$0,"$2,610,954"
"93 ","Coria, Federico","$676,364 ","$641,108 ","$35,256","$1,946,781"
"94 ","Paire, Benoit","$657,694 ","$612,067 ","$45,627","$9,981,341"
"95 ","Daniel, Taro","$646,181 ","$646,181 ",$0,"$3,000,901"
"96 ","Zapata Miralles, Bernabe","$631,596 ","$605,262 ","$26,334","$1,265,812"
"97 ","Kubler, Jason","$625,437 ","$586,151 ","$39,286","$1,253,343"
"98 ","Thompson, Jordan","$621,519 ","$581,069 ","$40,450","$4,189,308"
"99 ","Dodig, Ivan","$619,783 ","$0 ","$619,783","$8,777,932"
"100 ","Popyrin, Alexei","$610,087 ","$575,195 ","$34,892","$2,600,547"
"101 ","Kudla, Denis","$603,988 ","$523,545 ","$80,443","$4,153,530"
"102 ","Krajicek, Austin","$602,271 ","$0 ","$602,271","$2,165,197"
"103 ","Carballes Baena, Roberto","$598,832 ","$569,003 ","$29,829","$3,302,000"
"104 ","Altmaier, Daniel","$593,865 ","$531,921 ","$61,944","$1,212,491"
"105 ","Galan, Daniel Elahi","$586,523 ","$583,071 ","$3,452","$1,515,749"
"106 ","van Rijthoven, Tim","$574,113 ","$568,339 ","$5,774","$690,532"
"107 ","Glasspool, Lloyd","$568,015 ","$0 ","$568,015","$794,319"
"108 ","Heliovaara, Harri","$564,280 ","$3,860 ","$560,420","$855,298"
"109 ","Tabilo, Alejandro","$562,897 ","$526,079 ","$36,818","$978,567"
"110 ","Monteiro, Thiago","$561,998 ","$528,540 ","$33,458","$2,744,721"
"111 ","Wawrinka, Stan","$552,401 ","$525,515 ","$26,886","$35,330,662"
"112 ","Duckworth, James","$536,883 ","$510,131 ","$26,752","$3,199,071"
"113 ","Andujar, Pablo","$530,739 ","$480,929 ","$49,810","$6,964,908"
"114 ","Zeballos, Horacio","$529,481 ","$0 ","$529,481","$6,475,707"
"115 ","Halys, Quentin","$528,968 ","$461,898 ","$67,070","$1,838,231"
"116 ","Harris, Lloyd","$528,186 ","$464,528 ","$63,658","$3,114,801"
"117 ","Wolf, J.J.","$522,712 ","$522,712 ",$0,"$970,924"
"118 ","Granollers, Marcel","$516,776 ","$0 ","$516,776","$12,155,549"
"119 ","Millman, John","$515,456 ","$503,275 ","$12,181","$5,301,360"
"120 ","Tseng, Chun-Hsin","$506,075 ","$495,390 ","$10,685","$640,034"
"121 ","O'Connell, Christopher","$498,339 ","$481,166 ","$17,173","$1,246,113"
"122 ","Bagnis, Facundo","$496,967 ","$469,052 ","$27,915","$2,573,319"
"123 ","Venus, Michael","$492,638 ","$0 ","$492,638","$3,597,824"
"124 ","Etcheverry, Tomas Martin","$490,513 ","$437,117 ","$53,396","$691,334"
"125 ","Albot, Radu","$484,095 ","$455,300 ","$28,795","$4,563,891"
"126 ","Huesler, Marc-Andrea","$480,972 ","$464,788 ","$16,184","$828,757"
"127 ","Krawietz, Kevin","$475,392 ","$0 ","$475,392","$2,291,779"
"128 ","Puetz, Tim","$474,330 ","$0 ","$474,330","$1,484,552"
"129 ","Cachin, Pedro","$467,563 ","$453,201 ","$14,362","$764,828"
"130T ","Cabal, Juan Sebastian","$462,179 ","$0 ","$462,179","$5,075,455"
"130T ","Farah, Robert","$462,179 ","$0 ","$462,179","$4,789,299"
"132 ","Berankis, Ricardas","$455,182 ","$447,331 ","$7,851","$4,706,574"
"Page 3 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"133 ","Mies, Andreas","$451,593 ","$0 ","$451,593","$1,701,234"
"134 ","Roger-Vasselin, Edouard","$444,365 ","$0 ","$444,365","$6,800,730"
"135 ","Murray, Jamie","$441,547 ","$0 ","$441,547","$5,917,098"
"136 ","Struff, Jan-Lennard","$441,496 ","$398,906 ","$42,590","$7,706,029"
"137 ","Broady, Liam","$440,664 ","$431,626 ","$9,038","$1,439,306"
"138 ","Laaksonen, Henri","$436,405 ","$435,922 ",$483,"$2,296,402"
"139 ","Gojowczyk, Peter","$435,936 ","$425,896 ","$10,040","$3,707,879"
"140 ","Gonzalez, Santiago","$428,470 ","$0 ","$428,470","$2,827,583"
"141 ","Thiem, Dominic","$421,122 ","$421,122 ",$0,"$29,282,888"
"142 ","Stricker, Dominic","$415,289 ","$401,783 ","$13,506","$515,939"
"143 ","Bopanna, Rohan","$414,386 ","$0 ","$414,386","$5,095,796"
"144 ","Peers, John","$397,669 ","$0 ","$397,669","$5,176,597"
"145 ","Lopez, Feliciano","$395,870 ","$243,348 ","$152,522","$18,618,224"
"146 ","Querrey, Sam","$388,353 ","$344,667 ","$43,686","$13,679,265"
"147 ","Bedene, Aljaz","$381,705 ","$355,127 ","$26,578","$5,153,647"
"148 ","Bolelli, Simone","$379,034 ","$0 ","$379,034","$6,043,430"
"149 ","Safiullin, Roman","$374,841 ","$348,280 ","$26,561","$851,826"
"150 ","Kozlov, Stefan","$374,046 ","$373,053 ",$993,"$966,067"
"151 ","Taberner, Carlos","$372,424 ","$359,174 ","$13,250","$1,014,472"
"152 ","Simon, Gilles","$370,820 ","$359,745 ","$11,075","$16,045,734"
"153 ","Borges, Nuno","$364,637 ","$312,606 ","$52,031","$475,549"
"154 ","Grenier, Hugo","$344,974 ","$341,638 ","$3,336","$564,785"
"155 ","Molteni, Andres","$340,764 ","$0 ","$340,764","$1,379,202"
"156 ","Middelkoop, Matwe","$335,377 ","$0 ","$335,377","$1,748,638"
"157 ","Eubanks, Christopher","$332,656 ","$307,616 ","$25,040","$1,165,688"
"158 ","Verdasco, Fernando","$331,981 ","$326,906 ","$5,075","$18,257,980"
"159 ","Gombos, Norbert","$324,484 ","$323,219 ","$1,265","$2,104,197"
"160 ","Zielinski, Jan","$319,259 ","$40,000 ","$279,259","$387,734"
"161 ","Koepfer, Dominik","$317,790 ","$298,650 ","$19,140","$2,306,450"
"162 ","Hanfmann, Yannick","$314,872 ","$308,258 ","$6,614","$1,410,503"
"163 ","Marterer, Maximilian","$313,105 ","$309,664 ","$3,441","$2,012,295"
"164 ","Dellien, Hugo","$309,801 ","$301,365 ","$8,436","$1,554,024"
"165 ","Ymer, Elias","$299,881 ","$291,738 ","$8,143","$1,501,282"
"166 ","Lestienne, Constant","$287,314 ","$272,851 ","$14,463","$863,416"
"167 ","Cecchinato, Marco","$287,034 ","$281,399 ","$5,635","$4,491,892"
"168 ","Melo, Marcelo","$283,365 ","$0 ","$283,365","$7,719,320"
"169 ","Vavassori, Andrea","$279,555 ","$161,658 ","$117,897","$647,790"
"170 ","Machac, Tomas","$279,246 ","$278,774 ",$472,"$616,801"
"171 ","Kukushkin, Mikhail","$275,664 ","$274,791 ",$873,"$6,781,242"
"172 ","Passaro, Francesco","$266,640 ","$253,848 ","$12,792","$292,128"
"173 ","Peniston, Ryan","$264,393 ","$253,657 ","$10,736","$387,911"
"174 ","Matos, Rafael","$263,236 ","$2,091 ","$261,145","$429,375"
"175 ","Mahut, Nicolas","$258,366 ","$0 ","$258,366","$12,334,353"
"176 ","Gonzalez, Maximo","$253,629 ","$0 ","$253,629","$3,031,854"
"Page 4 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"177 ","Couacaud, Enzo","$253,199 ","$233,056 ","$20,143","$833,006"
"178 ","Vukic, Aleksandar","$252,419 ","$239,420 ","$12,999","$660,642"
"179 ","Golubev, Andrey","$252,183 ","$3,130 ","$249,053","$3,189,346"
"180 ","Kolar, Zdenek","$247,981 ","$229,939 ","$18,042","$792,744"
"181 ","Seppi, Andreas","$247,367 ","$244,189 ","$3,178","$11,816,212"
"182 ","Kotov, Pavel","$245,786 ","$239,733 ","$6,053","$383,120"
"183 ","Vega Hernandez, David","$244,121 ","$0 ","$244,121","$456,712"
"184 ","Shelton, Ben","$242,715 ","$221,555 ","$21,160","$283,392"
"185 ","Barrere, Gregoire","$242,370 ","$237,149 ","$5,221","$1,694,260"
"186 ","Pouille, Lucas","$241,691 ","$235,281 ","$6,410","$8,105,164"
"187 ","Guinard, Manuel","$238,361 ","$213,428 ","$24,933","$456,969"
"188 ","Escobar, Gonzalo","$236,221 ","$390 ","$235,831","$645,607"
"189 ","Wu, Yibing","$233,881 ","$232,988 ",$893,"$425,427"
"190 ","Hijikata, Rinky","$233,276 ","$211,126 ","$22,150","$322,313"
"191 ","Arnaldi, Matteo","$232,629 ","$222,234 ","$10,395","$262,948"
"192 ","Gomez, Emilio","$231,038 ","$228,723 ","$2,315","$834,354"
"193 ","Behar, Ariel","$225,811 ","$0 ","$225,811","$685,125"
"194 ","Novak, Dennis","$225,343 ","$224,264 ","$1,079","$1,723,221"
"195 ","Mmoh, Michael","$223,699 ","$223,699 ",$0,"$1,396,527"
"196 ","Cobolli, Flavio","$222,869 ","$211,373 ","$11,496","$291,315"
"197 ","Varillas, Juan Pablo","$220,701 ","$218,466 ","$2,235","$542,862"
"198 ","Blancaneaux, Geoffrey","$219,869 ","$209,644 ","$10,225","$516,473"
"199 ","Ritschard, Alexander","$219,470 ","$216,236 ","$3,234","$312,182"
"200 ","Jarry, Nicolas","$217,322 ","$207,942 ","$9,380","$2,421,971"
"201 ","Martin, Fabrice","$215,760 ","$0 ","$215,760","$1,930,414"
"202 ","Agamenone, Franco","$215,041 ","$208,511 ","$6,530","$340,341"
"203 ","Cerundolo, Juan Manuel","$212,248 ","$212,248 ",$0,"$484,335"
"204 ","Cacic, Nikola","$209,032 ","$0 ","$209,032","$884,744"
"205 ","Travaglia, Stefano","$208,516 ","$190,589 ","$17,927","$2,172,067"
"206 ","Ramanathan, Ramkumar","$206,150 ","$127,759 ","$78,391","$1,137,890"
"207 ","Nys, Hugo","$205,557 ","$8,944 ","$196,613","$832,047"
"208 ","Bergs, Zizou","$205,292 ","$203,243 ","$2,049","$359,390"
"209 ","Zhang, Zhizhen","$202,595 ","$199,671 ","$2,924","$658,944"
"210 ","Brouwer, Gijs","$199,372 ","$189,803 ","$9,569","$297,509"
"211 ","Gerasimov, Egor","$199,013 ","$199,013 ",$0,"$1,899,923"
"212 ","Zeppieri, Giulio","$198,773 ","$194,503 ","$4,270","$288,490"
"213 ","Mager, Gianluca","$196,257 ","$181,348 ","$14,909","$1,526,541"
"214 ","Ugo Carabelli, Camilo","$194,201 ","$188,942 ","$5,259","$300,040"
"215 ","Gojo, Borna","$193,818 ","$192,966 ",$852,"$381,828"
"216 ","Kohlschreiber, Philipp","$192,490 ","$190,914 ","$1,576","$13,749,731"
"217 ","Klaasen, Raven","$190,428 ","$0 ","$190,428","$3,977,637"
"218 ","Nava, Emilio","$189,459 ","$188,959 ",$500,"$317,332"
"219 ","Barrios Vera, Tomas","$187,573 ","$139,494 ","$48,079","$452,535"
"220 ","Pospisil, Vasek","$187,268 ","$179,850 ","$7,418","$6,958,244"
"Page 5 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"221 ","Kuzmanov, Dimitar","$185,799 ","$184,442 ","$1,357","$544,743"
"222 ","Escobedo, Ernesto","$185,649 ","$183,729 ","$1,920","$1,432,398"
"223 ","Krueger, Mitchell","$183,371 ","$179,631 ","$3,740","$1,128,839"
"224 ","Haase, Robin","$182,765 ","$61,272 ","$121,493","$7,847,819"
"225 ","Gille, Sander","$180,011 ","$0 ","$180,011","$828,402"
"226 ","Ofner, Sebastian","$179,383 ","$177,892 ","$1,491","$923,988"
"227 ","Nardi, Luca","$176,589 ","$163,638 ","$12,951","$220,901"
"228 ","Rodionov, Jurij","$175,890 ","$171,236 ","$4,654","$664,785"
"229 ","Holt, Brandon","$175,647 ","$162,607 ","$13,040","$212,354"
"230 ","Cuevas, Pablo","$174,658 ","$162,770 ","$11,888","$9,643,411"
"231 ","Masur, Daniel","$174,061 ","$165,771 ","$8,290","$627,456"
"232 ","Brkic, Tomislav","$174,009 ","$0 ","$174,009","$639,167"
"233 ","Kovalik, Jozef","$173,511 ","$173,006 ",$505,"$1,567,423"
"234 ","Polasek, Filip","$173,412 ","$0 ","$173,412","$2,638,647"
"235 ","Milojevic, Nikola","$173,164 ","$168,443 ","$4,721","$1,016,950"
"236 ","Jubb, Paul","$173,090 ","$173,090 ",$0,"$287,109"
"237 ","Caruso, Salvatore","$172,612 ","$171,030 ","$1,582","$1,930,324"
"238 ","Vliegen, Joran","$171,597 ","$0 ","$171,597","$830,433"
"239 ","Saville, Luke","$166,455 ","$12,705 ","$153,750","$1,249,027"
"240 ","Meligeni Alves, Felipe","$165,467 ","$122,859 ","$42,608","$428,482"
"241 ","Soares, Bruno","$164,972 ","$0 ","$164,972","$6,948,824"
"242 ","Clarke, Jay","$161,691 ","$150,811 ","$10,880","$773,072"
"243 ","de Jong, Jesper","$159,628 ","$143,737 ","$15,891","$269,675"
"244 ","Olivo, Renzo","$159,366 ","$150,182 ","$9,184","$1,250,041"
"245 ","Lammons, Nathaniel","$159,345 ","$0 ","$159,345","$360,775"
"246 ","Trungelliti, Marco","$159,057 ","$158,782 ",$275,"$1,433,118"
"247 ","Dzumhur, Damir","$158,585 ","$154,449 ","$4,136","$4,686,882"
"248 ","McLachlan, Ben","$154,822 ","$0 ","$154,822","$1,355,801"
"249 ","Rodriguez Taverna, Santiago","$154,486 ","$147,551 ","$6,935","$233,178"
"250 ","Fratangelo, Bjorn","$154,457 ","$153,377 ","$1,080","$1,598,459"
"251 ","Mena, Facundo","$153,587 ","$144,613 ","$8,974","$440,948"
"252 ","Nedovyesov, Aleksandr","$151,651 ","$11,369 ","$140,282","$1,209,543"
"253 ","Celikbilek, Altug","$151,341 ","$141,057 ","$10,284","$401,176"
"254 ","Giannessi, Alessandro","$151,277 ","$148,924 ","$2,353","$1,290,461"
"255 ","Diez, Steven","$148,130 ","$32,084 ","$116,046","$951,223"
"256 ","Gray, Alastair","$146,658 ","$134,818 ","$11,840","$204,826"
"257 ","Shevchenko, Alexander","$145,666 ","$140,531 ","$5,135","$189,845"
"258 ","Skatov, Timofey","$143,822 ","$142,106 ","$1,716","$215,693"
"259 ","Misolic, Filip","$143,279 ","$142,688 ",$591,"$169,622"
"260 ","Elias, Gastao","$142,032 ","$139,560 ","$2,472","$1,411,618"
"261 ","Tirante, Thiago Agustin","$141,289 ","$134,716 ","$6,573","$208,993"
"262 ","Withrow, Jackson","$141,178 ","$0 ","$141,178","$506,212"
"263 ","Bhambri, Yuki","$140,755 ","$109,551 ","$31,204","$1,075,213"
"264 ","Schnur, Brayden","$139,877 ","$129,833 ","$10,044","$874,128"
"Page 6 of 95 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 27, 2022"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 28, 2022",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"265 ","Kopriva, Vit","$139,279 ","$132,496 ","$6,783","$310,416"
"266 ","Piros, Zsombor","$135,790 ","$135,493 ",$297,"$228,824"
"267 ","Bonadio, Riccardo","$134,200 ","$131,400 ","$2,800","$291,328"
"268 ","Balazs, Attila","$131,233 ","$131,233 ",$0,"$946,784"
"269 ","Walkow, Szymon","$130,697 ","$125 ","$130,572","$248,962"
"270 ","Muller, Alexandre","$129,759 ","$126,696 ","$3,063","$613,981"
"271 ","Popko, Dmitry","$129,264 ","$124,869 ","$4,395","$582,113"
"272 ","Miedler, Lucas","$128,724 ","$26,021 ","$102,703","$446,796"
"273 ","Moraing, Mats","$128,696 ","$126,775 ","$1,921","$594,000"
"274 ","Kicker, Nicolas","$128,317 ","$127,653 ",$664,"$1,020,983"
"275 ","Uchida, Kaichi","$127,540 ","$111,396 ","$16,144","$348,094"
"276 ","Harrison, Christian","$127,253 ","$119,730 ","$7,523","$624,607"
"277 ","Londero, Juan Ignacio","$126,438 ","$123,953 ","$2,485","$2,103,389"
"278 ","Kovacevic, Aleksandar","$124,302 ","$117,322 ","$6,980","$201,495"
"279 ","Serdarusic, Nino","$124,250 ","$119,488 ","$4,762","$409,496"
"280 ","Oswald, Philipp","$123,215 ","$0 ","$123,215","$1,447,282"
"281 ","Pellegrino, Andrea","$121,622 ","$116,874 ","$4,748","$361,648"
"282 ","Ficovich, Juan Pablo","$121,101 ","$115,493 ","$5,608","$342,941"
"283 ","Erler, Alexander","$119,973 ","$12,837 ","$107,136","$256,659"
"284 ","Anderson, Kevin","$119,141 ","$119,141 ",$0,"$17,728,382"
"285 ","Wu, Tung-Lin","$118,730 ","$111,104 ","$7,626","$277,687"
"286 ","Herbert, Pierre-Hugues","$117,912 ","$65,910 ","$52,002","$8,972,885"
"287 ","Goransson, Andre","$116,843 ","$260 ","$116,583","$308,028"
"288 ","Svrcina, Dalibor","$116,519 ","$110,844 ","$5,675","$155,518"
"289 ","Qureshi, Aisam-Ul-Haq","$116,166 ","$0 ","$116,166","$3,658,705"
"290 ","Fabbiano, Thomas","$115,952 ","$114,459 ","$1,493","$2,431,440"
"291 ","Bellier, Antoine","$115,187 ","$110,874 ","$4,313","$214,987"
"292 ","Horansky, Filip","$114,380 ","$114,380 ",$0,"$563,522"
"293 ","Bolt, Alex","$114,200 ","$102,266 ","$11,934","$1,399,224"
"294 ","Pucinelli De Almeida, Matheus","$113,187 ","$107,576 ","$5,611","$160,540"
"295 ","Reboul, Fabien","$112,524 ","$758 ","$111,766","$250,233"
"296 ","Stebe, Cedrik-Marcel","$112,011 ","$111,068 ",$943,"$1,558,056"
"297 ","Kuhn, Nicola","$111,936 ","$110,985 ",$951,"$431,415"
"298 ","Kubot, Lukasz","$109,762 ","$0 ","$109,762","$8,725,566"
"299 ","Jung, Jason","$108,078 ","$107,538 ",$540,"$1,077,936"
"300 ","O'Mara, Jonny","$107,481 ","$0 ","$107,481","$546,123"
"301 ","Rosol, Lukas","$106,975 ","$100,578 ","$6,397","$4,682,927"
"302 ","Collarini, Andrea","$106,252 ","$96,087 ","$10,165","$557,406"
"303 ","Sousa, Pedro","$105,742 ","$104,769 ",$973,"$1,097,369"
"304 ","Klein, Lukas","$105,477 ","$103,616 ","$1,861","$248,696"
"305 ","Edmund, Kyle","$101,990 ","$101,990 ",$0,"$5,867,693"
"306 ","Moroni, Gian Marco","$99,478 ","$98,125 ","$1,353","$341,947"
"307 ","Kuznetsov, Andrey","$99,396 ","$98,198 ","$1,198","$3,042,950"
"308 ","Arnaboldi, Andrea","$96,588 ","$95,441 ","$1,147","$996,606"
