"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                            YTD         Singles   Doubles        Career"
"78       Jaziri, Malek                          $541,833        $511,025     $30,808 $1,756,563"
"79       Dzumhur, Damir                         $540,435        $535,650      $4,785 $1,142,256"
"80       Klaasen, Raven                         $535,334              $0    $535,334 $1,626,871"
"81       Monaco, Juan                           $533,018        $526,668      $6,350 $8,057,057"
"82       Mathieu, Paul-Henri                    $521,761        $484,843     $36,918 $6,096,286"
"83       Millman, John                          $516,642        $502,179     $14,463 $1,056,882"
"84       Zverev, Mischa                         $515,810        $494,173     $21,637 $2,635,866"
"85       Lajovic, Dusan                         $511,994        $463,904     $48,090 $1,731,546"
"86       Young, Donald                          $509,236        $460,911     $48,325 $3,290,194"
"87       Fritz, Taylor                          $508,032        $473,347     $34,685   $570,616"
"88       Rosol, Lukas                           $494,655        $440,641     $54,014 $3,940,876"
""
"Page 2 of 109                      Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                              ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                             YTD         Singles   Doubles        Career"
"89       Gabashvili, Teymuraz                     $493,490        $465,810     $27,680 $3,863,546"
"90       Haase, Robin                             $493,355        $446,909     $46,446 $4,102,557"
"91       Schwartzman, Diego                       $485,790        $441,495     $44,295 $1,395,910"
"92       Bedene, Aljaz                            $470,156        $441,999     $28,157 $1,633,238"
"93       Cervantes, Inigo                         $466,811        $413,135     $53,676   $992,684"
"94       Khachanov, Karen                         $455,237        $444,991     $10,246   $590,060"
"95       Istomin, Denis                           $444,156        $405,400     $38,756 $4,617,781"
"96       Tecau, Horia                             $442,129              $0    $442,129 $3,565,422"
"97       Nestor, Daniel                           $439,930              $0    $439,930 $12,529,536"
"98       Kukushkin, Mikhail                       $433,825        $418,887     $14,938 $3,131,188"
"99       Zeballos, Horacio                        $428,442        $336,458     $91,984 $2,729,549"
"100      Estrella Burgos, Victor                  $427,133        $388,180     $38,953 $1,588,695"
"101      Evans, Daniel                            $420,312        $390,475     $29,837   $910,666"
"102      Kudla, Denis                             $417,262        $371,613     $45,649 $1,522,708"
"103      Rojer, Jean-Julien                       $416,730              $0    $416,730 $3,310,996"
"104      Gulbis, Ernests                          $403,034        $403,034          $0 $6,142,258"
"105      Struff, Jan-Lennard                      $395,972        $370,927     $25,045 $1,532,700"
"106      Sela, Dudi                               $387,764        $344,437     $43,327 $3,056,423"
"107      Berankis, Ricardas                       $385,845        $359,596     $26,249 $1,871,791"
"108      Kubot, Lukasz                            $385,751          $5,202    $380,549 $5,082,384"
"109      Harrison, Ryan                           $383,948        $360,723     $23,225 $2,288,043"
"110      Mirnyi, Max                              $382,888              $0    $382,888 $11,418,057"
"111      Huey, Treat                              $381,930          $1,055    $380,875 $1,298,388"
"112      Brown, Dustin                            $381,327        $344,360     $36,967 $2,134,512"
"113      Stakhovsky, Sergiy                       $380,050        $337,453     $42,597 $4,482,143"
"114      Mayer, Leonardo                          $375,951        $308,291     $67,660 $4,081,804"
"115      Becker, Benjamin                         $358,293        $346,447     $11,846 $4,338,815"
"116      Peya, Alexander                          $345,609              $0    $345,609 $3,645,444"
"117      Donskoy, Evgeny                          $345,491        $334,632     $10,859 $1,486,524"
"118      Tipsarevic, Janko                        $341,869        $311,279     $30,590 $7,871,673"
"119      Groth, Sam                               $341,207        $248,789     $92,418 $1,703,577"
"120      Donaldson, Jared                         $336,214        $335,854        $360   $602,210"
"121      Bopanna, Rohan                           $333,067              $0    $333,067 $3,208,733"
"122      Lu, Yen-Hsun                             $324,140        $304,610     $19,530 $4,313,099"
"123      Giraldo, Santiago                        $318,884        $311,876      $7,008 $4,034,146"
"124      Mergea, Florin                           $306,276              $0    $306,276 $1,437,968"
"125      Thompson, Jordan                         $303,995        $278,130     $25,865   $469,324"
"126      Bagnis, Facundo                          $303,670        $287,121     $16,549   $859,037"
"127      Baker, Brian                             $299,727        $212,593     $87,134 $1,017,093"
"128      Nishioka, Yoshihito                      $293,618        $289,929      $3,689   $562,649"
"129      Fratangelo, Bjorn                        $293,598        $287,848      $5,750   $497,231"
"130      Albot, Radu                              $273,685        $259,687     $13,998   $780,120"
"131      Martin, Fabrice                          $273,355          $9,837    $263,518   $526,204"
"132      Daniel, Taro                             $272,208        $261,605     $10,603   $589,861"
""
"Page 3 of 109                        Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                            YTD         Singles   Doubles        Career"
"133      Elias, Gastao                           $269,720        $250,017     $19,703     $780,726"
"134      Chung, Hyeon                            $267,005        $237,733     $29,272     $624,600"
"135      Matkowski, Marcin                       $261,635              $0    $261,635   $3,680,549"
"136      Halys, Quentin                          $247,169        $214,923     $32,246     $346,239"
"137      Lacko, Lukas                            $244,366        $240,526      $3,840   $2,456,912"
"138T     Cabal, Juan Sebastian                   $241,099          $1,055    $240,044   $1,414,191"
"138T     Farah, Robert                           $241,099          $1,055    $240,044   $1,176,240"
"140      Fabbiano, Thomas                        $238,921        $230,436      $8,485     $619,381"
"141      Olivo, Renzo                            $238,541        $236,126      $2,415     $451,665"
"142      Darcis, Steve                           $235,178        $232,351      $2,827   $2,421,835"
"143      Bolelli, Simone                         $235,140        $138,770     $96,370   $4,463,912"
"144      Basilashvili, Nikoloz                   $234,927        $234,427        $500     $650,320"
"145      Sugita, Yuichi                          $234,103        $230,393      $3,710     $869,186"
"146      Martin, Andrej                          $231,227        $199,166     $32,061     $633,783"
"147      Dutra Silva, Rogerio                    $227,922        $210,289     $17,633     $952,185"
"148      Marach, Oliver                          $227,007              $0    $227,007   $2,393,861"
"149      Pavic, Mate                             $222,223          $3,740    $218,483     $592,529"
"150      Smyczek, Tim                            $221,718        $220,291      $1,427   $1,474,357"
"151      Berlocq, Carlos                         $218,274        $201,474     $16,800   $3,569,872"
"152      Lindstedt, Robert                       $216,573          $1,635    $214,938   $3,292,595"
"153      Duckworth, James                        $213,537        $201,084     $12,453   $1,038,606"
"154      Novikov, Dennis                         $210,985        $190,229     $20,756     $392,678"
"155      Zimonjic, Nenad                         $207,193              $0    $207,193   $8,141,799"
"156      Chiudinelli, Marco                      $205,033        $186,832     $18,201   $1,916,261"
"157      Venus, Michael                          $199,542          $6,830    $192,712     $550,623"
"158      Gimeno-Traver, Daniel                   $198,038        $192,555      $5,483   $3,126,031"
"159      de Bakker, Thiemo                       $196,178        $184,218     $11,960   $1,704,597"
"160      Krajicek, Austin                        $196,150        $153,657     $42,493     $751,718"
"161      Kovalik, Jozef                          $193,519        $193,073        $446     $328,441"
"162      Cecchinato, Marco                       $192,494        $171,578     $20,916     $548,622"
"163      Montanes, Albert                        $192,327        $190,376      $1,951   $5,843,292"
"164      Qureshi, Aisam-Ul-Haq                   $190,795              $0    $190,795   $2,570,033"
"165      Inglot, Dominic                         $190,787              $0    $190,787   $1,082,019"
"166      Tiafoe, Frances                         $189,774        $182,814      $6,960     $329,016"
"167      Kravchuk, Konstantin                    $189,528        $157,438     $32,090     $788,146"
"168      Sijsling, Igor                          $185,596        $183,396      $2,200   $2,118,668"
"169      Melzer, Gerald                          $181,637        $174,960      $6,677     $474,223"
"170      Brands, Daniel                          $181,268        $179,978      $1,290   $1,939,922"
"171      Munoz de la Nava, Daniel                $180,049        $168,915     $11,134   $1,049,655"
"172      Trungelliti, Marco                      $176,368        $174,995      $1,373     $385,226"
"173      Pavlasek, Adam                          $173,092        $171,483      $1,609     $288,499"
"174      Tursunov, Dmitry                        $167,666        $154,898     $12,768   $5,744,748"
"175      Marrero, David                          $165,087              $0    $165,087   $2,043,609"
"176      Kamke, Tobias                           $160,600        $157,666      $2,934   $2,097,421"
""
"Page 4 of 109                       Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
