"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                            YTD         Singles   Doubles        Career"
"Page 8 of 109                       Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                           ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                        YTD         Singles   Doubles        Career"
"353      Roca Batalla, Oriol                  $42,560          $36,374    $6,186   $131,856"
"354      Matosevic, Marinko                   $42,108          $40,808    $1,300 $2,004,102"
"355      Skupski, Neal                        $41,767               $0   $41,767   $162,483"
"356      Gerasimov, Egor                      $41,489          $39,499    $1,990   $164,683"
"357      Quigley, Eric                        $41,341          $22,712   $18,629  $109,830"
"358      Milojevic, Nikola                    $41,191          $37,369    $3,822    $88,369"
"359      Sonego, Lorenzo                      $40,950          $38,237    $2,713    $60,069"
"360      Meister, Nicolas                     $40,705          $22,395   $18,310  $124,714"
"361      Perez Sanz, David                    $40,679          $31,406    $9,273   $108,069"
"362      Lama, Gonzalo                        $40,608          $36,585    $4,023   $143,454"
"363      Polmans, Marc                        $40,364          $33,514    $6,850    $64,517"
"364      Velotti, Agustin                     $40,287          $36,899    $3,388   $238,848"
"365      Silva, Frederico Ferreira            $39,594          $33,976    $5,618   $100,291"
"366      Mitchell, Benjamin                   $39,562          $36,872    $2,690   $290,352"
"367      Sancic, Antonio                      $39,547           $1,733   $37,814   $108,709"
"368      Gong, Mao-Xin                        $38,725               $0   $38,725   $278,505"
"369      Mertl, Jan                           $37,667          $35,264    $2,403   $581,147"
"370      Linzer, Michael                      $37,587          $34,470    $3,117   $129,147"
"371      Pavic, Ante                          $37,517          $32,288    $5,229   $337,356"
"372      Masur, Daniel                        $37,395          $28,616    $8,779    $67,734"
"373      Langer, Nils                         $37,261          $34,745    $2,516   $196,573"
"374      Michalicka, Marek                    $37,120          $28,457    $8,663   $143,900"
"375      Lipovsek Puches, Tomas               $36,651          $29,825    $6,826    $93,606"
"376      Barrientos, Nicolas                  $36,188          $23,521   $12,667  $218,094"
"377      Ruud, Casper                         $35,064          $32,031    $3,033    $37,356"
"378      Cerretani, James                     $34,944               $0   $34,944   $608,271"
"379      Garin, Christian                     $34,917          $32,519    $2,398   $115,499"
"380      Ilkel, Cem                           $34,733          $30,203    $4,530    $86,589"
"381      Van Der Duim, Antal                  $34,475          $26,497    $7,978   $195,113"
"382      Glasspool, Lloyd                     $34,410          $23,085   $11,325    $48,305"
"383      Zampieri, Caio                       $34,229          $24,321    $9,908   $275,427"
"384      Chazal, Maxime                       $34,188          $31,932    $2,256    $85,687"
"385      Konecny, Michal                      $34,013          $29,710    $4,303   $139,803"
"386      Tsitsipas, Stefanos                  $33,270          $28,959    $4,311    $44,429"
"387      Kibi, Yuya                           $33,203          $30,199    $3,004    $66,165"
"388      Dustov, Farrukh                      $33,183          $31,342    $1,841   $497,694"
"389      Lindell, Christian                   $33,147          $29,515    $3,632   $223,732"
"390      Stebe, Cedrik-Marcel                 $32,846          $29,654    $3,192   $591,414"
"391      Hernandez-Fernandez, Jose            $32,623          $25,719    $6,904   $131,352"
"392      Vatutin, Alexey                      $31,869          $29,352    $2,517    $88,972"
"393      Gomez, Lucas                         $31,852          $29,896    $1,956    $52,044"
"394      Barry, Sam                           $31,808          $28,097    $3,711    $97,418"
"395      Bhupathi, Mahesh                     $31,687               $0   $31,687 $6,665,907"
"396      Kolar, Zdenek                        $31,667          $24,893    $6,774    $43,875"
""
"Page 9 of 109                   Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                         YTD         Singles   Doubles        Career"
"397      Ymer, Mikael                          $31,405          $14,612   $16,793      $45,320"
"398      Munar, Jaume                          $30,699          $27,969    $2,730      $72,236"
"399      Weissborn, Tristan-Samuel             $30,475               $0   $30,475      $81,240"
"400      Krawietz, Kevin                       $30,000          $15,471   $14,529     $148,090"
"401      King, Evan                            $29,847          $21,605    $8,242      $85,303"
"402      Norrie, Cameron                       $29,575          $26,745    $2,830      $40,983"
"403      Mott, Blake                           $29,532          $28,382    $1,150      $65,089"
"404      Quiroz, Roberto                       $29,528          $22,495    $7,033      $60,110"
"405      Desein, Niels                         $29,343          $26,552    $2,791     $384,171"
"406      Jahn, Jeremy                          $29,124          $27,759    $1,365      $63,098"
"407      Ortega-Olmedo, Roberto                $28,924          $25,732    $3,192     $121,009"
"408      Hank, Tigre                           $28,789          $23,855    $4,934      $84,049"
"409      Petrovic, Danilo                      $28,689          $20,928    $7,761      $87,146"
"410      Lokoli, Laurent                       $28,546          $27,750      $796     $150,109"
"411      Londero, Juan Ignacio                 $28,391          $24,404    $3,987     $159,625"
"412      Lapentti, Giovanni                    $28,302          $23,471    $4,831     $578,663"
"413      Kuznetsov, Alex                       $28,147          $26,697    $1,450     $923,666"
"414      Jankovits, Yannick                    $27,818          $22,416    $5,402      $95,759"
"415      Nedunchezhiyan, Jeevan                $27,514           $2,790   $24,724     $115,506"
"416      Doumbia, Sadio                        $27,493          $22,290    $5,203      $51,751"
"417      Kwon, Soon Woo                        $27,301          $23,221    $4,080      $35,059"
"418      Sekiguchi, Shuichi                    $27,191          $23,901    $3,290     $103,851"
"419      O'Connell, Christopher                $27,116          $26,262      $854      $49,616"
"420      Kretschmer, Gero                      $27,042               $0   $27,042     $202,767"
"421      Gigounon, Germain                     $26,947          $24,826    $2,121     $208,852"
"422      Authom, Maxime                        $26,790          $20,571    $6,219     $332,901"
"423      Junaid, Rameez                        $26,627               $0   $26,627     $453,948"
"424      Yang, Tsung-Hua                       $26,468          $12,000   $14,468     $363,673"
"425      Van Peperzeel, Gavin                  $26,145          $20,161    $5,984      $89,183"
"426      Safranek, Vaclav                      $25,930          $21,972    $3,958      $59,001"
"427      Coria, Federico                       $25,735          $21,067    $4,668      $87,366"
"428      Zhyrmont, Dzmitry                     $25,649          $22,742    $2,907     $165,909"
"429      Gao, Xin                              $25,488          $16,381    $9,107      $64,485"
"430      Banes, Maverick                       $25,420          $19,246    $6,174      $87,453"
"431      Smith, Connor                         $25,413          $19,207    $6,206      $82,854"
"432      Van Rijthoven, Tim                    $25,376          $21,477    $3,899      $32,418"
"433      Maden, Yannick                        $25,177          $24,915      $262      $48,807"
"434      Vasilevski, Andrei                    $25,077           $4,941   $20,136      $93,869"
"435      Nedelko, Ivan                         $24,984          $23,279    $1,705     $113,831"
"436      Balaji, N.Sriram                      $24,741          $16,709    $8,032     $115,186"
"437      Hamou, Maxime                         $24,659          $23,427    $1,232     $105,361"
"438      Bega, Alessandro                      $24,449          $20,801    $3,648      $93,106"
"439      Ratiwatana, Sonchat                   $24,406             $520   $23,886     $428,957"
"440      Sieber, Marc                          $24,326          $21,790    $2,536      $93,133"
""
"Page 10 of 109                   Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                             ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                          YTD         Singles   Doubles        Career"
"441      Quinzi, Gianluigi                      $24,311          $21,576    $2,735      $84,819"
"442      Serdarusic, Nino                       $24,275          $17,064    $7,211      $36,893"
"443      Majchrzak, Kamil                       $24,272          $19,642    $4,630      $62,953"
"444      Behar, Ariel                           $24,233               $0   $24,233      $76,744"
"445      Beck, Andreas                          $24,170          $21,415    $2,755   $1,564,600"
"446      Kowalczyk, Mateusz                     $24,086               $0   $24,086     $253,194"
"447      Nys, Hugo                              $24,014          $17,235    $6,779      $88,407"
"448      Patino, Luis                           $23,825          $17,109    $6,716      $58,971"
"449      Sakharov, Gleb                         $23,771          $22,002    $1,769      $93,351"
"450      Hsieh, Cheng-Peng                      $23,606             $260   $23,346      $63,626"
"451      Betov, Sergey                          $23,595           $7,708   $15,887     $193,674"
"452      Viola, Matteo                          $23,538          $20,910    $2,628     $540,179"
"453      Bellotti, Riccardo                     $23,389          $22,377    $1,012     $114,061"
"454      Cipolla, Flavio                        $23,348           $7,486   $15,862   $1,610,665"
"455      Wang, Jimmy                            $23,310          $18,110    $5,200   $1,138,356"
"456      Trinker, Bastian                       $23,218          $21,894    $1,324      $97,228"
"457      Jankovic, Miki                         $23,208          $19,401    $3,807      $68,356"
"458      Marti, Yann                            $23,172          $23,172        $0     $156,230"
"459      Tearney, Finn                          $23,144          $18,800    $4,344      $47,933"
"460      Hanfmann, Yannick                      $23,103          $21,079    $2,024      $37,610"
"461      Uchida, Kaichi                         $23,101          $16,844    $6,257      $49,609"
"462      Wessels, Louis                         $23,016          $22,508      $508      $23,612"
"463      Kelly, Dayne                           $22,953          $18,926    $4,027      $88,868"
"464      Ouahab, Lamine                         $22,924          $18,230    $4,694     $436,196"
"465      Martinez Portero, Pedro                $22,911          $17,594    $5,317      $32,030"
"466      Ratiwatana, Sanchai                    $22,806               $0   $22,806     $419,259"
"467      Shane, Ryan                            $22,760          $22,420      $340      $70,096"
"468      Arvidsson, Isak                        $22,738          $11,361   $11,377      $64,456"
"469      Cachin, Pedro                          $22,672          $20,777    $1,895      $87,927"
"470      Dima, Dragos                           $22,560          $21,633      $927      $46,013"
"471      Metreveli, Aleksandre                  $22,498          $15,981    $6,517      $56,226"
"472      Mesaros, Kristijan                     $22,448          $22,448        $0     $144,799"
"473      Mousley, Bradley                       $22,317          $17,074    $5,243      $44,934"
"474      Ofner, Sebastian                       $22,315          $19,856    $2,459      $30,038"
"475      Rungkat, Christopher                   $22,310          $13,859    $8,451     $103,390"
"476      Tyurnev, Evgeny                        $22,300          $20,598    $1,702      $41,234"
"477      Neuchrist, Maximilian                  $22,281          $12,926    $9,355     $111,605"
"478      Reyes-Varela, Miguel Angel             $22,165               $0   $22,165     $141,372"
"479      Escobar, Gonzalo                       $22,139          $16,166    $5,973      $75,243"
"480      Hernych, Jan                           $22,068          $20,933    $1,135   $2,177,834"
"481      Galdos, Sergio                         $22,026               $0   $22,026      $89,701"
"482      Statham, Jose                          $21,964          $18,910    $3,054     $225,223"
"483      Yi, Chu-Huan                           $21,792           $3,206   $18,586     $100,194"
"484      Jacq, Gregoire                         $21,780          $14,931    $6,849      $42,901"
""
"Page 11 of 109                    Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                       YTD         Singles   Doubles        Career"
"485      Moser, Frank                        $21,707           $5,339   $16,368   $542,427"
"486      Mager, Gianluca                     $21,685          $20,341    $1,344    $61,513"
"487      Reister, Julian                     $21,560          $20,684      $876   $858,260"
"488      Sun, Fajing                         $21,442          $15,086    $6,356    $31,979"
"489      Maamoun , Karim-Mohamed             $21,428          $16,545    $4,883    $61,446"
"490      Fayziev, Sanjar                     $21,426          $17,025    $4,401    $51,422"
"491      Geens, Clement                      $21,356          $19,281    $2,075    $39,634"
"492      Mena, Facundo                       $21,332          $17,081    $4,251    $85,604"
"493      Ojeda Lara, Ricardo                 $21,262          $20,502      $760    $64,596"
"494      Sarmiento, Raymond                  $21,162          $18,327    $2,835    $41,174"
"495      Paz, Juan Pablo                     $21,028          $16,982    $4,046    $52,632"
"496      Bellier, Antoine                    $20,909          $13,310    $7,599    $30,959"
"497      De Minaur, Alex                     $20,832          $19,292    $1,540    $21,328"
"498      Bossel, Adrien                      $20,771          $16,061    $4,710   $145,230"
"499      Grigelis, Laurynas                  $20,565          $17,365    $3,200   $235,665"
"500      Przysiezny, Michal                  $20,550          $20,070      $480 $1,325,588"
"501      Salisbury, Joe                      $20,535          $13,067    $7,468    $43,062"
"502      Bolt, Alex                          $20,293          $11,760    $8,533   $238,674"
"503      Michnev, Petr                       $20,219          $17,656    $2,563    $34,766"
"504      Smirnov, Artem                      $20,216          $19,342      $874   $177,332"
"505      Arends, Sander                      $20,215               $0   $20,215    $43,994"
"506      El Mihdawy, Adam                    $20,210          $17,914    $2,296   $130,424"
"507      Lopez San Martin, Alvaro            $20,183          $18,829    $1,354    $22,099"
"508      Niki, Takuto                        $20,182          $18,162    $2,020   $103,474"
"509      Purcell, Max                        $20,124          $17,236    $2,888    $21,456"
"510      Brkic, Tomislav                     $20,027          $15,675    $4,352   $127,176"
"511      Satschko, Alexander                 $20,012               $0   $20,012   $254,437"
"512      Mina, Gianni                        $19,987          $17,525    $2,462   $139,530"
"513      He, Yecong                          $19,959          $14,133    $5,826    $38,877"
"514      Dlouhy, Lukas                       $19,829               $0   $19,829 $3,141,040"
"515      Eremin, Edoardo                     $19,755          $17,515    $2,240    $74,670"
"516      Pereira, Jose                       $19,734          $16,469    $3,265   $127,616"
"517      Neis, Fabricio                      $19,722           $2,070   $17,652    $97,115"
"518      Miedler, Lucas                      $19,641          $11,967    $7,674    $52,286"
"519      Griekspoor, Tallon                  $19,635          $15,819    $3,816    $30,886"
"520      Jebavy, Roman                       $19,615           $1,189   $18,426   $147,329"
"521      Torebko, Peter                      $19,483          $16,692    $2,791   $180,804"
"522      Jenkins, Jarmere                    $19,425          $15,792    $3,633   $145,669"
"523      Domingues, Joao                     $19,301          $16,230    $3,071    $57,568"
"524      Lazov, Alexandar                    $19,186          $15,521    $3,665    $75,229"
"525      Simonsson, Fred                     $19,116           $8,661   $10,455    $36,169"
"526      Kuzmanov, Dimitar                   $19,107          $16,883    $2,224    $71,375"
"527      Schnur, Brayden                     $19,020          $16,595    $2,425    $51,668"
"528      Hach Verdugo, Hans                  $18,935           $6,775   $12,160    $43,347"
""
"Page 12 of 109                 Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                           ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                          YTD         Singles   Doubles        Career"
"529      Ghedin, Riccardo                       $18,848           $1,380   $17,468   $304,222"
"530      Ouyang, Bowen                          $18,844          $14,197    $4,647    $70,254"
"531      Devvarman, Somdev                      $18,835          $15,560    $3,275 $1,459,122"
"532      Eubanks, Christopher                   $18,806          $16,086    $2,720    $29,466"
"533      Nagal, Sumit                           $18,701          $17,392    $1,309    $31,820"
"534      Taberner, Carlos                       $18,554          $15,841    $2,713    $26,301"
"535      Gunneswaran, Prajnesh                  $18,499          $18,499        $0    $39,570"
"536      Choinski, Jan                          $18,485          $16,917    $1,568    $37,480"
"537      Cacic, Nikola                          $18,478          $16,951    $1,527    $97,953"
"538      Harris, Lloyd                          $18,437          $17,119    $1,318    $31,646"
"539      Nevolo, Dennis                         $18,417          $15,697    $2,720    $65,716"
"540      Bambridge, Luke                        $18,411           $9,684    $8,727    $66,745"
"541      Denolly, Corentin                      $18,388          $15,022    $3,366    $23,943"
"542      Oliveira, Goncalo                      $18,232          $11,638    $6,594    $44,561"
"543      Bonzi, Benjamin                        $18,192          $13,050    $5,142    $32,430"
"544      Collarini, Andrea                      $18,157          $15,462    $2,695   $137,885"
"545      Hampel, Lenny                          $18,093          $13,909    $4,184    $26,310"
"546      Cox, Daniel                            $18,049          $17,733      $316   $260,172"
"547      Sorgi, Joao Pedro                      $17,926          $15,065    $2,861    $68,708"
"548      Gomez, Alejandro                       $17,866          $13,512    $4,354    $40,844"
"549      Manafov, Vladyslav                     $17,861          $13,244    $4,617    $61,202"
"550      Shyla, Yaraslav                        $17,659           $8,159    $9,500    $88,666"
"551      Libietis, Mikelis                      $17,606          $12,538    $5,068    $32,207"
"552      Dubail, Julien                         $17,595          $15,479    $2,116    $78,076"
"553      Bednarek, Tomasz                       $17,593               $0   $17,593   $416,810"
"554      Wang, Tak Khunn                        $17,591          $12,310    $5,281    $74,680"
"555      Ismailov, Temur                        $17,473          $15,111    $2,362    $59,645"
"556      Schnur, Max                            $17,453               $0   $17,453    $22,174"
"557      Gil, Fred                              $17,436          $10,907    $6,529 $1,418,056"
"558      Eriksson, Markus                       $17,435          $11,640    $5,795   $103,099"
"559      Soderlund, Carl                        $17,399          $17,047      $352    $21,010"
"560      Jaloviec, Marek                        $17,361          $14,922    $2,439    $30,226"
"561      Marcan, Dino                           $17,348           $1,237   $16,111   $143,694"
"562      Kalovelonis, Markos                    $17,276          $11,985    $5,291    $43,973"
"563      Granollers, Gerard                     $17,237          $14,056    $3,181   $277,256"
"564      Teixeira, Maxime                       $17,205           $9,383    $7,822   $341,218"
"565      Muller, Alexandre                      $17,160          $14,172    $2,988    $25,900"
"566      Galarza, Juan Ignacio                  $17,087          $12,918    $4,169    $52,531"
"567      Scholtz, Nicolaas                      $17,075          $11,107    $5,968    $59,806"
"568      Maytin, Roberto                        $17,071               $0   $17,071    $72,211"
"569      Zayid, Mubarak Shannan                 $17,010          $13,211    $3,799    $20,580"
"570      Auger-Aliassime, Felix                 $16,879          $10,248    $6,631    $20,887"
"571      Karlovskiy, Evgeny                     $16,843          $12,378    $4,465    $46,306"
"572      Chaplin, Jarryd                        $16,722           $3,644   $13,078    $29,089"
""
"Page 13 of 109                    Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                           YTD         Singles   Doubles        Career"
"573      Roelofse, Ruan                          $16,656             $430   $16,226     $108,271"
"574      Giner, Marc                             $16,637          $13,574    $3,063     $104,431"
"575      Hiltzik, Jared                          $16,624          $13,189    $3,435      $29,288"
"576      Gille, Sander                           $16,499           $6,393   $10,106      $39,752"
"577      O'Brien, Dean                           $16,330               $0   $16,330      $61,287"
"578      Peng, Hsien-Yin                         $16,246               $0   $16,246      $82,941"
"579T     Horansky, Filip                         $16,222          $14,221    $2,001      $72,338"
"579T     Igoshin, Alexandr                       $16,222           $9,582    $6,640      $42,296"
"581      Romboli, Fernando                       $16,124           $9,829    $6,295     $186,065"
"582      Leshem, Edan                            $16,114          $14,468    $1,646      $26,952"
"583      Peliwo, Filip                           $16,094          $12,529    $3,565     $132,636"
"584      Kim, Cheong-Eui                         $16,070          $14,024    $2,046      $67,491"
"585      Matsukevich, Denis                      $16,055           $6,955    $9,100     $249,247"
"586      Luz, Orlando                            $16,047          $11,098    $4,949      $31,217"
"587      Blancaneaux, Geoffrey                   $15,914          $15,212      $702      $18,840"
"588      Hurkacz, Hubert                         $15,842          $13,792    $2,050      $25,774"
"589      Hoang, Antoine                          $15,770          $10,712    $5,058      $32,130"
"590      Williams, Rhyne                         $15,740          $10,825    $4,915     $455,125"
"591      De Waard, Steven                        $15,734           $5,496   $10,238      $28,361"
"592      Crepaldi, Erik                          $15,716          $11,782    $3,934     $107,247"
"593      Margaroli, Luca                         $15,614           $5,165   $10,449      $60,365"
"594      Wang, Chuhan                            $15,601          $12,683    $2,918      $88,581"
"595      Pecotic, Matija                         $15,591          $14,661      $930      $50,376"
"596      Te, Rigele                              $15,518          $12,464    $3,054      $21,946"
"597      Torpegaard, Mikael                      $15,426          $13,356    $2,070      $19,612"
"598      Estevez, Maximiliano                    $15,327          $12,146    $3,181      $98,105"
"599      Vorster, Tucker                         $15,324           $7,916    $7,408      $60,140"
"600      Dubarenco, Maxim                        $15,255          $13,659    $1,596      $72,927"
"601      Vliegen, Joran                          $15,229           $5,028   $10,201      $27,731"
"602      Naso, Gianluca                          $15,193          $14,307      $886     $402,480"
"603      Ochi, Makoto                            $15,161          $14,161    $1,000      $24,612"
"604      Hong, Seong-chan                        $15,152          $14,364      $788      $21,371"
"605      Balazs, Attila                          $15,128          $14,226      $902     $161,958"
"606      Stanek, Robin                           $15,024          $13,509    $1,515      $44,354"
"607      De Paula, Fabiano                       $15,009           $6,548    $8,461     $151,379"
"608      O'Hare, David                           $14,980               $0   $14,980      $30,383"
"609      Vardhan, Vishnu                         $14,892          $10,822    $4,070     $145,776"
"610      Zhang, Zhizhen                          $14,842          $10,080    $4,762      $51,206"
"611      Kestelboim, Mariano                     $14,840          $10,094    $4,746      $30,927"
"612      Bourchier, Harry                        $14,830          $11,065    $3,765      $40,807"
"613      Safiullin, Roman                        $14,822          $14,132      $690      $29,158"
"614      Huta Galung, Jesse                      $14,775           $9,951    $4,824     $946,581"
"615      Malla, Bastian                          $14,721          $12,479    $2,242      $39,935"
"616      Mugevicius, Lukas                       $14,720          $10,918    $3,802      $37,682"
""
"Page 14 of 109                     Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                             ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                          YTD         Singles   Doubles        Career"
"617      Galan, Daniel Elahi                    $14,717          $13,566    $1,151      $46,046"
"618      Vilella Martinez, Mario                $14,646          $11,912    $2,734      $33,993"
"619      Pellegrino, Andrea                     $14,597          $10,658    $3,939      $20,296"
"620      Anderson, Oliver                       $14,555          $14,375      $180      $20,735"
"621      Vivero Gonzalez, Pablo                 $14,545          $13,143    $1,402      $33,759"
"622      Bortolotti, Marco                      $14,246          $11,482    $2,764      $72,316"
"623      Otte, Oscar                            $14,168           $8,292    $5,876      $37,167"
"624      Motti, Alessandro                      $14,133               $0   $14,133     $258,336"
"625      Giacalone, Omar                        $14,132          $10,544    $3,588      $63,205"
"626      Ivanov, Vladimir                       $14,092          $11,692    $2,400      $79,187"
"627      Vucic, Ilija                           $14,044           $5,452    $8,592      $51,596"
"628      Altmaier, Daniel                       $13,996          $11,828    $2,168      $22,158"
"629      Boutillier, Remi                       $13,988          $11,694    $2,294      $61,323"
"630      Nagy, Peter                            $13,966          $11,450    $2,516      $28,578"
"631      Nikles, Johan                          $13,920          $12,902    $1,018      $17,544"
"632      Koepfer, Dominik                       $13,910          $11,965    $1,945      $14,236"
"633      Vavassori, Andrea                      $13,848           $9,161    $4,687      $19,118"
"634      Lee, Kuan-Yi                           $13,835          $11,139    $2,696      $18,764"
"635      Jouan, Romain                          $13,722          $11,468    $2,254     $238,088"
"636      Griekspoor, Scott                      $13,699          $12,759      $940      $45,995"
"637      Agamenone, Franco                      $13,656           $9,064    $4,592      $32,422"
"638      Garanganga, Takanyi                    $13,596          $12,436    $1,160      $82,962"
"639      Pichler, David                         $13,532           $7,471    $6,061      $19,624"
"640T     Jones, Greg                            $13,510          $10,805    $2,705     $333,977"
"640T     Takeuchi, Kento                        $13,510          $10,690    $2,820     $119,829"
"642      Netuschil, Marvin                      $13,486          $12,128    $1,358      $35,810"
"643      Celikbilek, Altug                      $13,456           $9,938    $3,518      $29,783"
"644      Prashanth, N Vijay Sundar              $13,430           $8,965    $4,465      $74,512"
"645      Zormann, Marcelo                       $13,420           $9,937    $3,483      $32,476"
"646      Kwiatkowski, Thai-Son                  $13,355          $10,819    $2,536      $19,724"
"647      Marcora, Roberto                       $13,350          $13,134      $216     $128,456"
"648      Rosenholm, Patrik                      $13,342          $10,155    $3,187      $96,639"
"649      Casanova, Hernan                       $13,320          $11,852    $1,468      $41,247"
"650      Toledo Bague, Pol                      $13,318          $10,143    $3,175      $45,845"
"651      Zapata Miralles, Bernabe               $13,313          $12,295    $1,018      $26,015"
"652      Kobelt, Peter                          $13,308          $10,461    $2,847      $45,436"
"653      Fanselow, Sebastian                    $13,159          $11,079    $2,080      $25,658"
"654      Dutra da Silva, Daniel                 $13,120           $9,493    $3,627     $145,630"
"655      Vega Hernandez, David                  $13,080           $6,226    $6,854      $62,548"
"656      Santanna, Bruno                        $13,025          $11,157    $1,868      $70,260"
"657      Saavedra-Corvalan, Cristobal           $13,015           $8,224    $4,791     $130,417"
"658      Cukierman, Daniel                      $12,964          $10,532    $2,432      $19,133"
"659      Alcaraz Ivorra, Albert                 $12,894          $10,488    $2,406      $44,433"
"660      Pel, David                             $12,882           $3,899    $8,983      $25,626"
""
"Page 15 of 109                    Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                         YTD         Singles   Doubles        Career"
"661      Singh, Sanam                          $12,800           $7,632    $5,168     $132,820"
"662      Spencer, Wil                          $12,778          $11,352    $1,426      $25,447"
"663      Pospisil, Jaroslav                    $12,761           $9,827    $2,934     $522,906"
"664      Nolan, Daniel                         $12,689           $9,280    $3,409      $16,215"
"665      Travaglia, Stefano                    $12,622          $12,051      $571     $118,583"
"666      Barbosa, Romain                       $12,581           $9,890    $2,691      $39,339"
"667      Kozyukov, Vitaly                      $12,552           $9,210    $3,342      $23,050"
"668      Van de Zandschulp, Botic              $12,533          $10,728    $1,805      $14,895"
"669      Lim, Yong-Kyu                         $12,440          $10,278    $2,162     $121,842"
"670      Kellovsky, Dominik                    $12,416           $9,628    $2,788      $26,490"
"671      Luncanu, Petru-Alexandru              $12,407           $8,088    $4,319     $137,407"
"672      Trusendi, Walter                      $12,387          $10,487    $1,900     $156,289"
"673      Smith, Austin                         $12,372          $10,216    $2,156      $14,590"
"674      Pla Malfeito, Jaume                   $12,368           $8,974    $3,394      $31,486"
"675      Barrios Vera, Marcelo Tomas           $12,346          $10,538    $1,808      $18,998"
"676      Yuksel, Anil                          $12,248           $9,890    $2,358      $50,766"
"677      Kapas, Andriej                        $12,208           $9,813    $2,395     $101,830"
"678      Fancutt, Thomas                       $12,196           $8,668    $3,528      $20,870"
"679      Zukas, Matias                         $12,170           $9,244    $2,926      $23,931"
"680      Frigerio, Lorenzo                     $12,112           $9,786    $2,326      $35,701"
"681      Khabibulin, Timur                     $12,033           $6,144    $5,889      $31,347"
"682      Musialek, Alexis                      $11,952           $9,628    $2,324      $65,611"
"683      Moeller, Marvin                       $11,948          $11,524      $424      $11,948"
"684      Matsui, Toshihide                     $11,908             $728   $11,180     $233,312"
"685      Grenier, Hugo                         $11,846           $9,595    $2,251      $23,428"
"686      Papik, Tomas                          $11,776           $9,230    $2,546      $21,140"
"687      Endara, Ivan                          $11,619          $10,207    $1,412     $110,549"
"688      Mukund, Sasi Kumar                    $11,615          $10,723      $892      $25,791"
"689      Gonzales, Ruben                       $11,605           $2,500    $9,105      $67,564"
"690      Lootsma, Niels                        $11,604           $9,069    $2,535      $34,385"
"691      Massara, Antonio                      $11,579           $9,170    $2,409      $24,134"
"692      Heyman, Christopher                   $11,550          $11,486       $64      $26,693"
"693      Mcnally, John                         $11,520           $2,930    $8,590      $12,144"
"694      Couacaud, Enzo                        $11,424          $10,552      $872     $115,373"
"695      Sanchez, Manuel                       $11,420           $8,524    $2,896      $79,280"
"696      Takahashi, Yusuke                     $11,332          $10,330    $1,002      $13,077"
"697      Mclachlan, Ben                        $11,266           $1,036   $10,230      $26,896"
"698      Vervoort, Mark                        $11,255               $0   $11,255      $57,588"
"699      Reboul, Fabien                        $11,253           $6,778    $4,475      $26,108"
"700      O'Mara, Jonny                         $11,198           $7,444    $3,754      $25,628"
"701      Carter, Andrew                        $11,188           $9,024    $2,164      $25,897"
"702      Halebian, Alexios                     $11,184           $7,776    $3,408      $37,408"
"703      Austin, Gonzales                      $11,170           $9,456    $1,714      $18,531"
"704      Lock, Benjamin                        $11,119           $8,219    $2,900      $19,446"
""
"Page 16 of 109                   Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                             ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                          YTD         Singles   Doubles        Career"
"705      Imai, Shintaro                         $11,112           $8,408    $2,704      $15,783"
"706      Artunedo Martinavarro, Andres          $11,086          $10,308      $778      $62,167"
"707      Fortuna, Claudio                       $11,028           $9,048    $1,980      $58,888"
"708      Bonadio, Riccardo                      $10,986           $8,555    $2,431      $37,448"
"709      Bahamonde, Francisco                   $10,857           $8,444    $2,413      $28,519"
"710      Sabanin, Yan                           $10,786           $4,906    $5,880      $30,477"
"711      Mies, Andreas                          $10,761             $594   $10,167      $21,207"
"712      Zeballos, Federico                     $10,688           $7,540    $3,148      $59,062"
"713      Kopriva, Vit                           $10,560           $9,030    $1,530      $12,326"
"714      Vasilenko, Alexander                   $10,556           $7,871    $2,685      $33,731"
