"ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career          YTD           Singles     Doubles"
"1078     Martelli, Marzio                                $320,131          $0              $0            $0"
"1079     Coppejans, Kimmer                               $319,837     $63,345         $58,957        $4,388"
"1080     Burrieza-Lopez, Oscar                           $319,190        $162              $0          $162"
"1081     Trifu, Gabriel                                  $319,110          $0              $0            $0"
"1082     Krueger, Mitchell                               $318,151    $139,363        $130,818        $8,545"
"1083     Doyle, Grant                                    $318,037          $0              $0            $0"
"1084     Ghedin, Riccardo                                $317,614     $13,494          $1,998       $11,496"
"1085     Satral, Jan                                     $317,315     $99,936         $95,111        $4,825"
"1086     Goossens, Kris                                  $316,648          $0              $0            $0"
"1087     Koolhof, Wesley                                 $315,973    $134,958              $0      $134,958"
"1088     Marterer, Maximilian                            $315,881    $210,999        $207,490        $3,509"
"1089     Cowan, Barry                                    $315,856          $0              $0            $0"
"1090     Potier, Jerome                                  $315,454          $0              $0            $0"
"1091     Arriens, Carsten                                $314,588          $0              $0            $0"
"1092     Ramanathan, Ramkumar                            $314,105    $118,224        $111,048        $7,176"
"1093     Cierro, Massimo                                 $313,726          $0              $0            $0"
"1094     Andersen, Jan Frode                             $312,946          $0              $0            $0"
"1095     Hirszon, Sasa                                   $312,767          $0              $0            $0"
"1096     Aguilar, Jorge                                  $312,749        $162              $0          $162"
"1097     Safwat, Mohamed                                 $312,072     $97,399         $93,974        $3,425"
"1098     Phillips, Tripp                                 $311,162          $0              $0            $0"
"1099     Vico, Uros                                      $309,892          $0              $0            $0"
"1100     Navarra, Mose                                   $309,483          $0              $0            $0"
""
"Page 25 of 531                   Statistics/ Prize Money/ Career        Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                  Career       YTD           Singles     Doubles"
"1101     Travaglia, Stefano                                $309,125    $190,542        $184,590       $5,952"
"1102     Giammalva, Tony                                   $307,994          $0              $0           $0"
"1103     Djere, Laslo                                      $307,616    $141,448        $139,601       $1,847"
"1104     Naewie, Markus                                    $307,182          $0              $0           $0"
"1105     Larkham, Todd                                     $306,108          $0              $0           $0"
"1106     Costa, Francisco                                  $305,428          $0              $0           $0"
"1107     Mitchell, Matt                                    $303,978          $0              $0           $0"
"1108     Gong, Mao-Xin                                     $303,510     $25,005              $0      $25,005"
"1109     Lopez Perez, Enrique                              $303,249     $63,747         $57,889       $5,858"
"1110     Lojda, Dusan                                      $302,390          $0              $0           $0"
"1111     Reid, Todd                                        $302,000          $0              $0           $0"
"1112     Warburg, Sam                                      $301,995          $0              $0           $0"
"1113     Cervenak, Pavol                                   $301,988          $0              $0           $0"
"1114     De Greef, Arthur                                  $301,628    $124,056        $121,330       $2,726"
"1115     Noteboom, Stephen                                 $301,344          $0              $0           $0"
"1116     Granollers, Gerard                                $300,867     $23,898         $18,396       $5,502"
"1117     Massa, Edgardo                                    $300,279          $0              $0           $0"
"1118     Lopez, German                                     $298,869          $0              $0           $0"
"1119     Birner, Stanislav                                 $298,727          $0              $0           $0"
"1120     Jarry, Nicolas                                    $298,534    $167,694        $159,234       $8,460"
"1121     Jones, Alun                                       $298,154          $0              $0           $0"
"1122     Wostenholme, Martin                               $298,147          $0              $0           $0"
"1123     Kutsenko, Vadim                                   $297,093          $0              $0           $0"
"1124     Behr, Noam                                        $296,906         $96              $0          $96"
"1125     Mitchell, Benjamin                                $296,202      $5,850          $4,830       $1,020"
"1126     Schwaier, Hans                                    $295,886          $0              $0           $0"
"1127     Bourne, Lloyd                                     $295,736          $0              $0           $0"
"1128     Witt, David                                       $295,543          $0              $0           $0"
"1129     Dasnieres de Veigy, Jonathan                      $294,812          $0              $0           $0"
"1130     Sell, Michael                                     $294,371          $0              $0           $0"
"1131     Samper-Montana, Jordi                             $293,140     $30,078         $28,846       $1,232"
"1132     Prpic, Filip                                      $293,095          $0              $0           $0"
"1133     Cakl, Tomas                                       $293,005          $0              $0           $0"
"1134     Ostoja, Marko                                     $292,826          $0              $0           $0"
"1135     Zampieri, Caio                                    $292,766     $17,337         $10,192       $7,145"
"1136     Acuna, Ricardo                                    $291,650          $0              $0           $0"
"1137     Jonsson, Fredrik                                  $291,169          $0              $0           $0"
"1138     Messori, Filippo                                  $291,151          $0              $0           $0"
"1139     Bublik, Alexander                                 $290,640    $221,826        $217,759       $4,067"
"1140     Stefanki, Larry                                   $290,073          $0              $0           $0"
"1141     Faurel, Jean-Christophe                           $289,530          $0              $0           $0"
"1142     Stoppini, Andrea                                  $289,443          $0              $0           $0"
"1143     Frawley, John                                     $289,416          $0              $0           $0"
"1144     Colombo, Simone                                   $289,230          $0              $0           $0"
""
"Page 26 of 531                     Statistics/ Prize Money/ Career        Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                   Career       YTD           Singles     Doubles"
"1145     Doumbia, Yahiya                                    $287,231          $0              $0           $0"
"1146     Knittel, Bastian                                   $287,072          $0              $0           $0"
"1147     Arevalo, Marcelo                                   $285,614     $90,186         $67,250      $22,936"
"1148     Mmoh, Michael                                      $284,605    $148,600        $147,330       $1,270"
"1149     Krajan, Zeljko                                     $284,128          $0              $0           $0"
"1150     Puetz, Tim                                         $283,065     $43,622         $20,254      $23,368"
"1151     Gaio, Federico                                     $282,561     $82,179         $74,908       $7,271"
"1152     Dilucia, David                                     $281,857          $0              $0           $0"
"1153     Kim, Alex                                          $281,041          $0              $0           $0"
"1154     Motti, Alessandro                                  $278,400     $20,554              $0      $20,554"
"1155     Grigelis, Laurynas                                 $278,388     $43,876         $36,261       $7,615"
"1156     Simonsson, Stefan                                  $278,086          $0              $0           $0"
"1157     Jabali, Roberto                                    $277,807          $0              $0           $0"
"1158     Ingaramo, Marcelo                                  $276,559          $0              $0           $0"
"1159     Stenlund, Ulf                                      $274,501          $0              $0           $0"
"1160     Craca, Marcello                                    $273,659          $0              $0           $0"
"1161     Bester, Philip                                     $272,057     $19,650         $14,061       $5,589"
"1162     Statham, Rubin                                     $271,603     $46,380         $35,078      $11,302"
"1163     Velotti, Agustin                                   $271,594     $32,744         $29,228       $3,516"
"1164     Norrie, Cameron                                    $271,547    $230,563        $226,350       $4,213"
"1165     Rehmann, Lars                                      $271,500          $0              $0           $0"
"1166     Donati, Matteo                                     $271,398     $67,517         $60,807       $6,710"
"1167     Minar, Jan                                         $270,701          $0              $0           $0"
"1168     Hadad, Amir                                        $269,231          $0              $0           $0"
"1169     Couto, Emanuel                                     $269,186          $0              $0           $0"
"1170     Satschko, Alexander                                $268,636     $14,199              $0      $14,199"
"1171     Schoorel, Thomas                                   $267,992          $0              $0           $0"
"1172     Ledovskikh, Mikhail                                $267,854          $0              $0           $0"
"1173     Lopez Jaen, Miguel Angel                           $267,794          $0              $0           $0"
"1174     Serrano, Oscar                                     $267,670          $0              $0           $0"
"1175     Mortensen, Michael                                 $267,435          $0              $0           $0"
"1176     Cox, Daniel                                        $265,733      $5,561          $5,561           $0"
"1177     Koslowski, Lars                                    $265,437          $0              $0           $0"
"1178     Barton, Matthew                                    $265,394     $25,377         $14,805      $10,572"
"1179     Napolitano, Stefano                                $264,849    $163,389        $152,888      $10,501"
"1180     Kowalczyk, Mateusz                                 $264,509     $11,315          $1,010      $10,305"
"1181     Cassidy, Dan                                       $263,755          $0              $0           $0"
"1182     Matsukevich, Denis                                 $262,713     $13,465          $8,153       $5,312"
"1183     Bury, Aliaksandr                                   $262,212     $43,220          $2,369      $40,851"
"1184     Baccanello, Paul                                   $261,855          $0              $0           $0"
"1185     Sergeyev, Ivan                                     $261,683        $312            $258          $54"
"1186     Carrasco, Juan Ignacio                             $261,327          $0              $0           $0"
"1187     Myneni, Saketh                                     $261,171     $21,098         $16,863       $4,235"
"1188     Ruud, Casper                                       $261,018    $223,662        $222,116       $1,546"
""
"Page 27 of 531                      Statistics/ Prize Money/ Career        Report as of Dec 5, 2017"
"                           ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                  Career       YTD           Singles     Doubles"
"1189     Feigl, Peter                                      $260,885          $0               $0           $0"
"1190     Auckland, James                                   $260,610          $0               $0           $0"
"1191     Olaso, Guillermo                                  $258,697     $11,662          $11,206         $456"
"1192     Jebavy, Roman                                     $258,538    $111,209           $1,119     $110,090"
"1193     Matsui, Toshihide                                 $258,467     $25,155           $1,818      $23,337"
"1194     Navarro, Salvador                                 $257,406          $0               $0           $0"
"1195     Rahunen, Aki                                      $257,054          $0               $0           $0"
"1196     Mazarakis, Vasilis                                $256,787          $0               $0           $0"
"1197     Frawley, Rod                                      $256,333          $0               $0           $0"
"1198     Westphal, Michael                                 $255,317          $0               $0           $0"
"1199     Scherrer, Jean-Claude                             $255,121          $0               $0           $0"
"1200     Aldi, Francesco                                   $254,542          $0               $0           $0"
"1201     Mota, Bernardo                                    $253,659          $0               $0           $0"
"1202     Ward, Alexander                                   $253,542     $72,945          $72,495         $450"
"1203     Steyn, Christo                                    $253,361          $0               $0           $0"
"1204     McDonald, Mackenzie                               $253,134    $102,381          $92,706       $9,675"
"1205     Daufresne, Xavier                                 $252,896          $0               $0           $0"
"1206     Westerhof, Boy                                    $251,900     $18,354          $13,054       $5,300"
"1207     Lindell, Christian                                $251,789     $28,057          $24,156       $3,901"
"1208     Giustino, Lorenzo                                 $251,726     $68,886          $65,078       $3,808"
"1209     Utgren, Nicklas                                   $251,285          $0               $0           $0"
"1210     Dorsch, Benedikt                                  $251,123          $0               $0           $0"
"1211     Gensse, Augustin                                  $250,865        $150               $0         $150"
"1212     Van Garsse, Christophe                            $249,730          $0               $0           $0"
"1213     Willenborg, Blaine                                $249,307          $0               $0           $0"
"1214     Karatsev, Aslan                                   $249,116      $9,303           $6,163       $3,140"
"1215     Morejon, Luis Adrian                              $247,814          $0               $0           $0"
"1216     Anderson, Johan                                   $247,738          $0               $0           $0"
"1217     MacLagan, Miles                                   $247,737          $0               $0           $0"
"1218     Niland, Conor                                     $247,686          $0               $0           $0"
"1219     Skupski, Neal                                     $247,664     $85,181               $0      $85,181"
"1220     Richardson, Andrew                                $246,675          $0               $0           $0"
"1221     Lapidus, Jay                                      $246,102          $0               $0           $0"
"1222     Feeney, Adam                                      $246,101          $0               $0           $0"
"1223     Rahnasto, Olli                                    $245,624          $0               $0           $0"
"1224     Svantesson, Tobias                                $245,564          $0               $0           $0"
"1225     Polmans, Marc                                     $245,250    $180,732          $80,431     $100,301"
"1226     Cortes, Sergio                                    $244,706          $0               $0           $0"
"1227     Sekulov, James                                    $244,696          $0               $0           $0"
"1228     Gallardo-Valles, Miguel                           $243,949          $0               $0           $0"
"1229     Fraile, Gorka                                     $243,795          $0               $0           $0"
"1230     Rettenmaier, Travis                               $243,091          $0               $0           $0"
"1231     Jouan, Romain                                     $242,863      $4,774           $3,252       $1,522"
"1232     Garrow, Brian                                     $242,556          $0               $0           $0"
""
"Page 28 of 531                     Statistics/ Prize Money/ Career        Report as of Dec 5, 2017"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                  Career       YTD           Singles     Doubles"
"1233     Winnink, Joost                                    $242,379          $0              $0           $0"
"1234     Elter, Peter                                      $242,362          $0              $0           $0"
"1235     Meinecke, Tore                                    $242,301          $0              $0           $0"
"1236     Garner, Chris                                     $242,281          $0              $0           $0"
"1237     Trujillo-Soler, Gabriel                           $242,179          $0              $0           $0"
"1238     Bai, Yan                                          $241,674     $25,371         $19,726       $5,645"
"1239     Cihak, Josef                                      $241,359          $0              $0           $0"
"1240     Arguello, Roberto                                 $241,299          $0              $0           $0"
"1241     Dzelde, Girts                                     $240,274          $0              $0           $0"
"1242     Martinez, Oscar                                   $240,090          $0              $0           $0"
"1243     Widom, Todd                                       $239,052          $0              $0           $0"
"1244     Carter, David                                     $238,612          $0              $0           $0"
"1245     Gerasimov, Egor                                   $236,941     $72,256         $71,296         $960"
"1246     Mordegan, Federico                                $236,608          $0              $0           $0"
"1247     Salumaa, Sven                                     $236,003          $0              $0           $0"
"1248     Burquier, Gregoire                                $234,988        $530            $260         $270"
"1249     Felder, Marcel                                    $234,872     $10,260          $4,098       $6,162"
"1250     Ofner, Sebastian                                  $234,549    $204,511        $201,545       $2,966"
"1251     Meister, Steve                                    $233,795          $0              $0           $0"
"1252     de Minaur, Alex                                   $233,447    $212,119        $204,674       $7,445"
"1253     Aerts, Nelson                                     $233,278          $0              $0           $0"
"1254     Rosner, Paul                                      $232,555          $0              $0           $0"
"1255     Kralert, Petr                                     $231,463          $0              $0           $0"
"1256     Allgardh, Christer                                $231,280          $0              $0           $0"
"1257     Jung, Jason                                       $230,591     $59,867         $55,527       $4,340"
"1258     Balazs, Attila                                    $229,891     $67,933         $57,080      $10,853"
"1259     Capkovic, Kamil                                   $229,227          $0              $0           $0"
"1260     Mecir, Miloslav                                   $228,362          $0              $0           $0"
"1261     Struvay, Eduardo                                  $227,983      $6,967          $6,331         $636"
"1262     Lopez-Maeso, Jose                                 $227,600          $0              $0           $0"
"1263     Jasika, Omar                                      $227,419     $72,755         $70,175       $2,580"
"1264     Portes, Pascal                                    $227,283          $0              $0           $0"
"1265     Jeanpierre, Julien                                $225,543          $0              $0           $0"
"1266     Fornell-Mestres, Marc                             $224,673     $10,248          $4,670       $5,578"
"1267     Golovanov, Denis                                  $224,304          $0              $0           $0"
"1268     Novak, Dennis                                     $223,764     $57,737         $55,826       $1,911"
"1269     Melo, Daniel                                      $223,693          $0              $0           $0"
"1270     Lee, Duckhee                                      $223,544    $100,154         $96,964       $3,190"
"1271     Garza, Daniel                                     $223,501      $1,392              $0       $1,392"
"1272     Echagaray, Bruno                                  $222,895          $0              $0           $0"
"1273     Brugues-Davi, Arnau                               $222,854          $0              $0           $0"
"1274     Moldovan, Ion                                     $222,260          $0              $0           $0"
"1275     Brizzi, Alberto                                   $220,823          $0              $0           $0"
"1276     Kretschmer, Gero                                  $219,517     $16,926              $0      $16,926"
""
"Page 29 of 531                     Statistics/ Prize Money/ Career        Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career       YTD           Singles     Doubles"
"1277     Robertson, Michael                               $218,827          $0              $0           $0"
"1278     DeHeart, Ryler                                   $218,618          $0              $0           $0"
"1279     Schneiter, Andres                                $218,536          $0              $0           $0"
"1280     Barrientos, Nicolas                              $218,094          $0              $0           $0"
"1281     Caruso, Salvatore                                $217,605     $83,073         $75,793       $7,280"
"1282     Tenconi, Tomas                                   $217,290          $0              $0           $0"
"1283     Lindahl, Nick                                    $217,220          $0              $0           $0"
"1284     Kuharszky, Zoltan                                $217,169          $0              $0           $0"
"1285     Zekic, Miljan                                    $216,750     $63,470         $61,589       $1,881"
"1286     Avendano, Juan                                   $216,639          $0              $0           $0"
"1287     Navratil, Jaroslav                               $216,482          $0              $0           $0"
"1288     Buchanan, Chase                                  $216,155          $0              $0           $0"
"1289     Bangoura, Sekou                                  $216,126     $61,724         $50,346      $11,378"
"1290     Willis, Marcus                                   $215,521     $48,775         $28,389      $20,386"
"1291     Beckman, Charles                                 $215,307          $0              $0           $0"
"1292     Corrie, Edward                                   $215,289     $32,714         $29,512       $3,202"
"1293     Gigounon, Germain                                $214,908      $6,634          $5,020       $1,614"
"1294     Van Gemerden, Melle                              $214,727          $0              $0           $0"
"1295     Koves, Gabor                                     $214,507          $0              $0           $0"
"1296     Renavand, Nicolas                                $213,884          $0              $0           $0"
"1297     Popp, Wolfgang                                   $213,504          $0              $0           $0"
"1298     Moyano, Diego                                    $213,394          $0              $0           $0"
"1299     Maciel, Francisco                                $213,185          $0              $0           $0"
"1300     Chang, Albert                                    $212,100          $0              $0           $0"
"1301     Santillan, Akira                                 $211,746    $139,498        $133,498       $6,000"
"1302     Gitlin, Drew                                     $211,109          $0              $0           $0"
"1303     Duclos, Pierre-Ludovic                           $210,912          $0              $0           $0"
"1304     Meneschincheri, Marco                            $208,940          $0              $0           $0"
"1305     Bailey, Chris                                    $208,917          $0              $0           $0"
"1306     Langer, Nils                                     $208,894     $12,321         $11,551         $770"
"1307     Derlin, Bruce                                    $208,630          $0              $0           $0"
"1308     Luza, Gustavo                                    $208,619          $0              $0           $0"
"1309     Cruciat, Adrian                                  $208,556          $0              $0           $0"
"1310     Hemery , Calvin                                  $206,937     $76,219         $71,881       $4,338"
"1311     Wiltschnig, Herbert                              $206,275          $0              $0           $0"
"1312     Perkiss, Shahar                                  $206,224          $0              $0           $0"
"1313     Aranguren, Juan-Martin                           $206,172          $0              $0           $0"
"1314     Lokoli, Laurent                                  $205,988     $55,878         $53,548       $2,330"
"1315     Garin, Christian                                 $205,798     $90,297         $87,774       $2,523"
"1316     Quintero, Michael                                $205,626        $852            $852           $0"
"1317     Larose, Simon                                    $205,394          $0              $0           $0"
"1318     Betov, Sergey                                    $205,350     $11,676          $5,398       $6,278"
"1319     Carlsson, Marcio                                 $205,297          $0              $0           $0"
"1320     Flur, Marc                                       $204,967          $0              $0           $0"
""
"Page 30 of 531                    Statistics/ Prize Money/ Career        Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                     Career       YTD           Singles     Doubles"
"1321     Sarkissian, Alexander                                $204,632     $60,556          $58,041      $2,515"
"1322     Harrison, Christian                                  $203,582     $77,383          $64,133     $13,250"
"1323     Krstin, Pedja                                        $202,196     $47,217          $44,582      $2,635"
"1324     Childs, Lee                                          $201,900          $0               $0          $0"
"1325     Romboli, Fernando                                    $201,847     $15,614           $6,444      $9,170"
"1326     Ebelthite, Colin                                     $201,516          $0               $0          $0"
"1327     McGuire, Wade                                        $201,114          $0               $0          $0"
"1328     Tous, Alberto                                        $200,221          $0               $0          $0"
"1329     Van Der Duim, Antal                                  $199,933      $4,820           $3,776      $1,044"
"1330     Sorensen, Louk                                       $199,032          $0               $0          $0"
"1331     Yunis, Francisco                                     $198,607          $0               $0          $0"
"1332     Roditi, David                                        $198,155          $0               $0          $0"
"1333     Schultz, Bud                                         $197,894          $0               $0          $0"
"1334     Fruttero, John Paul                                  $197,775      $2,274               $0      $2,274"
"1335     Barbosa, Givaldo                                     $197,465          $0               $0          $0"
"1336     Ciric, Nikola                                        $197,357         $54               $0         $54"
"1337     Fromm, Eric                                          $197,330          $0               $0          $0"
"1338     King, Evan                                           $197,233    $111,574          $96,925     $14,649"
"1339     Panfil, Grzegorz                                     $197,167     $11,928           $1,000     $10,928"
"1340     Kley, Ivan                                           $196,614          $0               $0          $0"
"1341     Barthez, Lionel                                      $196,324          $0               $0          $0"
"1342     Torebko, Peter                                       $195,656     $14,852          $10,449      $4,403"
"1343     Jun, Woong-Sun                                       $195,307          $0               $0          $0"
"1344     Whitehouse, Wesley                                   $195,247          $0               $0          $0"
"1345     Brown, Nick                                          $195,180          $0               $0          $0"
"1346     Conde, Jose Antonio (Pepe)                           $195,135          $0               $0          $0"
"1347     Villagran, Cristian                                  $194,862        $108               $0        $108"
"1348     Szymanski, Jimy                                      $194,839          $0               $0          $0"
"1349     El Sawy, Tamer                                       $193,953          $0               $0          $0"
"1350     Moir, Barry                                          $193,347          $0               $0          $0"
"1351     Barrere, Gregoire                                    $193,214     $33,526          $22,775     $10,751"
"1352     Smirnov, Artem                                       $192,778     $15,444          $10,832      $4,612"
"1353     De Loore, Joris                                      $192,682     $90,142          $85,841      $4,301"
"1354     Segarceanu, Florin                                   $192,212          $0               $0          $0"
"1355     Eitzinger, Rainer                                    $192,197          $0               $0          $0"
"1356     Deppe, Royce                                         $192,064          $0               $0          $0"
"1357     Simmonds, Phillip                                    $191,421          $0               $0          $0"
"1358     Zhyrmont, Dzmitry                                    $191,190     $25,281          $22,039      $3,242"
"1359     Yoon, Yong-Il                                        $190,990          $0               $0          $0"
"1360     Rascon-Lope, Juan-Luis                               $190,867          $0               $0          $0"
"1361     Dell'Acqua, Massimo                                  $190,825          $0               $0          $0"
"1362     Kaplan, Mark                                         $189,570          $0               $0          $0"
"1363     Viver, Raul Antonio                                  $189,118          $0               $0          $0"
"1364     Vysand, Andres                                       $188,934          $0               $0          $0"
""
"Page 31 of 531                        Statistics/ Prize Money/ Career        Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                Career       YTD           Singles     Doubles"
"1365     Todero, Nicolas                                 $188,600          $0              $0           $0"
"1366     Varlet, Julien                                  $188,412          $0              $0           $0"
"1367     Saad, Roberto                                   $188,147          $0              $0           $0"
"1368     Vardhan, Vishnu                                 $187,524     $41,748         $15,997      $25,751"
"1369     Krawietz, Kevin                                 $187,319     $39,228         $10,120      $29,108"
"1370     Semjan, Marek                                   $187,260      $3,156          $2,382         $774"
"1371     Sakharov, Gleb                                  $187,238     $92,446         $90,153       $2,293"
"1372     Fillol Sr., Jaime                               $187,169          $0              $0           $0"
"1373     Im, Kyu Tae                                     $186,974          $0              $0           $0"
"1374     Londero, Juan Ignacio                           $186,668     $27,041         $17,208       $9,833"
"1375     Smethurst, Daniel                               $186,522          $0              $0           $0"
"1376     Olejniczak, Dawid                               $186,155          $0              $0           $0"
"1377     Ortiz, Oscar                                    $185,806          $0              $0           $0"
"1378     Crabb, Jaymon                                   $185,771          $0              $0           $0"
"1379     Merinov, Andrei                                 $185,632          $0              $0           $0"
"1380     Peliwo, Filip                                   $185,178     $52,542         $46,508       $6,034"
"1381     Hanfmann, Yannick                               $185,039    $147,429        $144,674       $2,755"
"1382     Juska, Andis                                    $184,884          $0              $0           $0"
"1383     Delic, Mate                                     $184,816     $15,087         $14,153         $934"
"1384     Poch-Gradin, Carlos                             $184,440          $0              $0           $0"
"1385     Ivashka, Ilya                                   $183,911     $65,878         $62,856       $3,022"
"1386     Musa, Daniele                                   $183,355          $0              $0           $0"
"1387     Tavares, Leonardo                               $183,352          $0              $0           $0"
"1388     Collarini, Andrea                               $182,827     $44,649         $40,233       $4,416"
"1389     Terachi, Takahiro                               $182,784          $0              $0           $0"
"1390     Rochette, Laurent                               $181,969      $5,121          $4,236         $885"
"1391     Del Rio, Diego                                  $181,755          $0              $0           $0"
"1392     Gomez, Emilio                                   $181,323     $18,837         $16,623       $2,214"
"1393     Mackin, Alan                                    $181,136          $0              $0           $0"
"1394     Gamonal, Hermes                                 $181,104          $0              $0           $0"
"1395     Kondo, Hiroki                                   $180,617          $0              $0           $0"
"1396     Nemecek, Libor                                  $180,351          $0              $0           $0"
"1397     Freeman, Marcel                                 $180,275          $0              $0           $0"
"1398     Nguyen, Daniel                                  $179,790     $33,165         $29,676       $3,489"
"1399     Veronelli, Diego                                $179,686          $0              $0           $0"
"1400     Pawsat, Tim                                     $179,360          $0              $0           $0"
"1401     Kirillov, Evgeny                                $179,027          $0              $0           $0"
"1402     Hjertquist, Per                                 $178,667          $0              $0           $0"
"1403     Vasilevski, Andrei                              $178,532     $84,662              $0      $84,662"
"1404     Cabello, Francisco                              $178,111          $0              $0           $0"
"1405     Bellotti, Riccardo                              $177,849     $63,787         $61,153       $2,634"
"1406     Milojevic, Nikola                               $177,235     $88,866         $80,362       $8,504"
"1407     Gregorc, Luka                                   $176,066          $0              $0           $0"
"1408     Rieschick, Sebastian                            $175,939          $0              $0           $0"
""
"Page 32 of 531                   Statistics/ Prize Money/ Career        Report as of Dec 5, 2017"
"                         ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                Career      YTD           Singles     Doubles"
"1409     Nys, Hugo                                       $175,875    $87,468           $9,957     $77,511"
"1410     Santos, Pablo                                   $175,723         $0               $0          $0"
"1411     Devening, Brian                                 $175,493         $0               $0          $0"
"1412     King-Turner, Daniel                             $175,333         $0               $0          $0"
"1413     Artoni, Enzo                                    $174,943         $0               $0          $0"
"1414     Green, Bob                                      $174,337         $0               $0          $0"
"1415     Marcan, Dino                                    $174,123    $30,604               $0     $30,604"
"1416     Trusendi, Walter                                $173,973    $17,683          $10,091      $7,592"
"1417     Brasington, Jack                                $173,770         $0               $0          $0"
"1418     Cook, Lester                                    $173,600         $0               $0          $0"
"1419     Di Laura, Carlos                                $173,556         $0               $0          $0"
"1420     Hilton, Mark                                    $173,513         $0               $0          $0"
"1421     Erlich, Eyal                                    $172,773         $0               $0          $0"
"1422     Stringari, Martin                               $172,652         $0               $0          $0"
"1423     Checa-Calvo, Jose                               $172,526         $0               $0          $0"
"1424     Wolmarans, Fritz                                $172,382         $0               $0          $0"
"1425     Nedunchezhiyan, Jeevan                          $172,129    $56,622           $2,930     $53,692"
"1426     De Paula, Fabiano                               $171,547    $20,167           $4,766     $15,401"
"1427     Bruno, Nicola                                   $171,486         $0               $0          $0"
"1428     Giorgini, Daniele                               $171,393         $0               $0          $0"
"1429     Slanar, Martin                                  $171,273       $180               $0        $180"
"1430     Lucena, Matt                                    $170,523         $0               $0          $0"
"1431     Hernandez-Fernandez, Jose                       $169,966    $38,614          $33,725      $4,889"
"1432     Moraru, Gabriel                                 $169,856         $0               $0          $0"
"1433     Reuter, Yannik                                  $169,683    $39,390          $37,976      $1,414"
"1434     Kohlberg, Andy                                  $169,395         $0               $0          $0"
"1435     Eaton, Chris                                    $169,026       $430               $0        $430"
"1436     Brkic, Tomislav                                 $168,755    $41,579          $34,538      $7,041"
"1437     Miele, Andre                                    $168,722     $4,713           $3,387      $1,326"
"1438     Baguena, Juan Carlos                            $168,464         $0               $0          $0"
"1439     Foster, Andrew                                  $168,329         $0               $0          $0"
"1440     Schranz, Wolfgang                               $168,313         $0               $0          $0"
"1441     Scala, Davide                                   $168,066         $0               $0          $0"
"1442     Dutra da Silva, Daniel                          $167,993    $22,363          $18,837      $3,526"
"1443     Stankovic, Branislav                            $167,847         $0               $0          $0"
"1444     Nieminen, Timo                                  $167,767         $0               $0          $0"
"1445     El Amrani, Reda                                 $167,278    $12,185          $10,707      $1,478"
"1446     Sancic, Antonio                                 $167,051    $58,341           $1,572     $56,769"
"1447     Gurfein, Jim                                    $166,472         $0               $0          $0"
"1448     Ireland, Jon                                    $166,355         $0               $0          $0"
"1449     Nielsen, Mark                                   $166,271         $0               $0          $0"
"1450     Delfino, Mariano                                $166,257         $0               $0          $0"
"1451     Bower, Justin                                   $166,067         $0               $0          $0"
"1452     Quinzi, Gianluigi                               $165,853    $81,033          $80,601       $432"
""
"Page 33 of 531                   Statistics/ Prize Money/ Career       Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                     Career       YTD           Singles     Doubles"
"1453     Petrovic, Dejan                                      $165,819          $0              $0           $0"
"1454     Woehrmann, Jens                                      $165,790          $0              $0           $0"
"1455     Popko, Dmitry                                        $165,054     $63,740         $58,513       $5,227"
"1456     Valeri, Massimo                                      $164,828          $0              $0           $0"
"1457     Oudsema, Scott                                       $164,610          $0              $0           $0"
"1458     Ardinghi, Massimo                                    $164,274          $0              $0           $0"
