"ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career          YTD           Singles     Doubles"
"85       Baghdatis, Marcos                             $8,147,973       $513,488        $486,565       $26,923"
"86       Grosjean, Sebastien                           $8,131,803             $0              $0            $0"
"87       Monaco, Juan                                  $8,091,242        $34,185         $32,800        $1,385"
"88       Troicki, Viktor                               $8,060,087       $989,184        $886,201      $102,983"
""
"Page 2 of 531                     Statistics/ Prize Money/ Career          Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                  Career         YTD           Singles       Doubles"
"89       Blake, James                                    $7,981,786            $0              $0              $0"
"90       Wilander, Mats                                  $7,956,101            $0              $0              $0"
"91       Haarhuis, Paul                                  $7,751,962            $0              $0              $0"
"92       Nieminen, Jarkko                                $7,743,345            $0              $0              $0"
"93       Costa, Albert                                   $7,685,228            $0              $0              $0"
"94       Novak, Jiri                                     $7,618,613            $0              $0              $0"
"95       Kiefer, Nicolas                                 $7,480,465            $0              $0              $0"
"96       Fish, Mardy                                     $7,460,641            $0              $0              $0"
"97       Garcia-Lopez, Guillermo                         $7,454,851      $497,001        $403,631         $93,370"
"98       Bautista Agut, Roberto                          $7,430,934    $1,794,937      $1,753,055         $41,882"
"99       Schuettler, Rainer                              $7,407,508            $0              $0              $0"
"100      Johansson, Thomas                               $7,168,029            $0              $0              $0"
"101      Clement, Arnaud                                 $7,125,228            $0              $0              $0"
"102      Chardy, Jeremy                                  $7,093,244      $654,217        $558,812         $95,405"
"103      Hrbaty, Dominik                                 $7,070,095            $0              $0              $0"
"104      Knowles, Mark                                   $7,058,933            $0              $0              $0"
"105      Zverev, Alexander                               $7,041,628    $5,108,998      $5,006,313       $102,685"
"106      Philippoussis, Mark                             $6,987,402            $0              $0              $0"
"107      Pioline, Cedric                                 $6,921,029            $0              $0              $0"
"108      Mayer, Florian                                  $6,914,734      $728,102        $673,616         $54,486"
"109      Dolgopolov, Alexandr                            $6,894,349      $940,757        $934,290          $6,467"
"110      Rosset, Marc                                    $6,812,693            $0              $0              $0"
"111      Cuevas, Pablo                                   $6,727,812    $1,546,063      $1,124,361       $421,702"
"112      Medvedev, Andrei                                $6,721,598            $0              $0              $0"
"113      Bhupathi, Mahesh                                $6,665,907            $0              $0              $0"
"114      Chela, Juan Ignacio                             $6,572,494            $0              $0              $0"
"115      Gulbis, Ernests                                 $6,459,404      $317,146        $317,146              $0"
"116      Kubot, Lukasz                                   $6,449,184    $1,366,800              $0      $1,366,800"
