"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                      YTD   Singles     Doubles           Career"
"75       Cuevas, Pablo                                    $818,990      $619,800   $199,190       $7,546,788"
"76T      Murray, Jamie                                    $813,324            $0   $813,324       $4,259,323"
"76T      Soares, Bruno                                    $813,324            $0   $813,324       $5,323,825"
"78       Krajinovic, Filip                                $793,806      $736,524    $57,282       $2,139,931"
"79       Berrettini, Matteo                               $781,675      $709,801    $71,874         $891,078"
"80       Copil, Marius                                    $757,107      $733,335    $23,772       $1,910,926"
"81       Bryan, Bob                                       $717,176            $0   $717,176      $15,412,992"
"82       Albot, Radu                                      $714,399      $579,727   $134,672       $1,982,880"
"83       Berdych, Tomas                                   $711,846      $711,846         $0      $28,931,999"
"84       Mektic, Nikola                                   $680,664            $0   $680,664       $1,295,971"
"85       Zeballos, Horacio                                $656,244      $360,056   $296,188       $4,259,061"
"86       Bedene, Aljaz                                    $637,638      $635,628     $2,010       $2,927,200"
"87       Garcia-Lopez, Guillermo                          $630,688      $550,437    $80,251       $8,085,540"
"88       Kudla, Denis                                     $618,799      $589,704    $29,095       $2,285,731"
""
"Page 2 of 100                      Statistics/ Prize Money/ Current           Report as of Dec 30, 2018"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                      YTD    Singles    Doubles           Career"
"89       Venus, Michael                                    $617,461      $5,075   $612,386       $1,780,112"
"90       Klaasen, Raven                                    $610,316          $0   $610,316       $2,681,450"
"91       Donskoy, Evgeny                                   $609,310    $585,987    $23,323       $2,544,887"
"92       Donaldson, Jared                                  $596,435    $596,435         $0       $2,053,567"
"93       Sugita, Yuichi                                    $595,935    $579,557    $16,378       $2,209,465"
"94       Muller, Gilles                                    $588,745    $556,113    $32,632       $5,991,874"
"95       Baghdatis, Marcos                                 $587,890    $578,200     $9,690       $8,735,839"
"96       Vesely, Jiri                                      $587,729    $554,048    $33,681       $3,505,564"
"97       Peya, Alexander                                   $583,508          $0   $583,508       $4,421,345"
"98       Delbonis, Federico                                $581,717    $519,663    $62,054       $3,370,065"
"99       McDonald, Mackenzie                               $568,161    $537,013    $31,148         $821,295"
"100      Granollers, Marcel                                $560,466    $199,664   $360,802       $9,950,504"
"101      Munar, Jaume                                      $558,694    $538,099    $20,595         $685,184"
"102      Norrie, Cameron                                   $553,378    $512,061    $41,317         $824,926"
"103      Nishioka, Yoshihito                               $549,440    $508,046    $41,394       $1,326,428"
"104      Pospisil, Vasek                                   $539,228    $512,161    $27,067       $5,287,905"
"105      Klizan, Martin                                    $535,368    $523,626    $11,742       $4,810,128"
"106      Istomin, Denis                                    $524,151    $493,370    $30,781       $5,860,155"
"107      Carballes Baena, Roberto                          $520,107    $483,450    $36,657       $1,037,105"
"108      Ferrer, David                                     $510,316    $494,455    $15,861      $31,306,836"
"109      Daniel, Taro                                      $499,030    $483,044    $15,986       $1,432,113"
"110      Lorenzi, Paolo                                    $498,442    $462,269    $36,173       $4,538,129"
"111      Rojer, Jean-Julien                                $492,480     $19,000   $473,480       $4,587,993"
"112      Basic, Mirza                                      $489,289    $445,003    $44,286         $962,688"
"113      Ram, Rajeev                                       $487,070      $2,195   $484,875       $4,579,997"
"114      Peers, John                                       $485,735          $0   $485,735       $3,469,424"
"115      Fabbiano, Thomas                                  $483,165    $469,813    $13,352       $1,504,316"
"116      Kontinen, Henri                                   $483,049          $0   $483,049       $2,871,368"
"117      Hurkacz, Hubert                                   $470,875    $467,695     $3,180         $536,603"
"118      Gulbis, Ernests                                   $468,884    $468,884         $0       $6,928,289"
"119      Bemelmans, Ruben                                  $467,345    $456,818    $10,527       $1,870,004"
"120      Karlovic, Ivo                                     $463,885    $453,214    $10,671       $9,254,394"
"121      Lacko, Lukas                                      $451,213    $441,739     $9,474       $3,231,702"
"122      Djere, Laslo                                      $436,449    $435,154     $1,295         $744,066"
"123      Roger-Vasselin, Edouard                           $428,775          $0   $428,775       $5,394,772"
"124      Tomic, Bernard                                    $423,895    $420,374     $3,521       $5,717,084"
"125      Klahn, Bradley                                    $411,528    $390,324    $21,204       $1,064,289"
"126      McLachlan, Ben                                    $407,318          $0   $407,318         $506,618"
"127      Troicki, Viktor                                   $400,419    $356,714    $43,705       $8,460,482"
"128      Polansky, Peter                                   $381,531    $357,551    $23,980       $1,352,295"
"129      Lopez, Marc                                       $380,579          $0   $380,579       $4,302,992"
"130      Tecau, Horia                                      $371,879     $19,000   $352,879       $4,711,924"
"131      Bhambri, Yuki                                     $366,528    $349,308    $17,220         $913,713"
"132      Skugor, Franko                                    $364,811     $31,689   $333,122         $991,387"
""
"Page 3 of 100                       Statistics/ Prize Money/ Current         Report as of Dec 30, 2018"
"                             ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                      YTD    Singles    Doubles           Career"
"133      Berankis, Ricardas                                $364,518    $362,046     $2,472       $2,528,607"
"134      Mayer, Florian                                    $364,276    $341,670    $22,606       $7,278,992"
"135      Inglot, Dominic                                   $354,818          $0   $354,818       $1,576,215"
"136      Thompson, Jordan                                  $345,832    $330,705    $15,127       $1,327,619"
"137      Ruud, Casper                                      $341,226    $336,325     $4,901         $602,242"
"138      Dodig, Ivan                                       $334,623      $2,195   $332,428       $6,685,402"
"139      Ivashka, Ilya                                     $332,011    $324,359     $7,652         $515,923"
"140      Novak, Dennis                                     $330,016    $320,475     $9,541         $553,780"
"141      Andreozzi, Guido                                  $329,564    $308,680    $20,884         $846,004"
"142      Andujar, Pablo                                    $329,150    $309,766    $19,384       $4,630,803"
"143      Stakhovsky, Sergiy                                $326,917    $313,022    $13,895       $5,110,465"
"144      Sonego, Lorenzo                                   $326,057    $323,624     $2,433         $425,662"
"145      Moutet, Corentin                                  $318,726    $317,189     $1,537         $408,123"
"146      Bopanna, Rohan                                    $302,651          $0   $302,651       $4,029,175"
"147      Auger-Aliassime, Felix                            $298,857    $290,968     $7,889         $385,853"
"148      Smyczek, Tim                                      $294,130    $292,360     $1,770       $1,971,530"
"149      Zopp, Jurgen                                      $287,408    $287,069       $339       $1,080,307"
"150      Young, Donald                                     $287,140    $234,359    $52,781       $4,504,008"
"151      Mmoh, Michael                                     $286,688    $283,987     $2,701         $571,293"
"152      Kovalik, Jozef                                    $282,468    $277,177     $5,291         $749,467"
"153      Kicker, Nicolas                                   $280,041    $274,486     $5,555         $840,342"
