Rank,Player,YTD,Singles,Doubles,Career
1,"Federer, Roger",13054856,13054856,0,111885682
2,"Djokovic, Novak",2116524,2083741,32783,109805403
3,"Nadal, Rafael",15864000,15851340,12660,94588627
4,"Murray, Andy",2092625,2071625,21000,60807644
5,"Sampras, Pete",0,0,0,43280489
6,"Agassi, Andre",0,0,0,31152975
7,"Wawrinka, Stan",3100512,3083829,16683,30905144
8,"Ferrer, David",1066211,1046695,19516,30796561
9,"Berdych, Tomas",1803545,1782871,20674,28220153
10,"Becker, Boris",0,0,0,25080956
11,"Kafelnikov, Yevgeny",0,0,0,23883797
12,"Lendl, Ivan",0,0,0,21262417
13,"Cilic, Marin",4063738,4004923,58815,20919276
14,"Tsonga, Jo-Wilfried",1857015,1843647,13368,20808869
15,"Hewitt, Lleyton",0,0,0,20787586
16,"Roddick, Andy",0,0,0,20640030
17,"Edberg, Stefan",0,0,0,20630941
18,"Ivanisevic, Goran",0,0,0,19878007
19,"Chang, Michael",0,0,0,19145632
20,"del Potro, Juan Martin",2580301,2547354,32947,18873003
21,"Nishikori, Kei",1491755,1485482,6273,17624129
22,"Davydenko, Nikolay",0,0,0,16186480
23,"Gasquet, Richard",1030186,1020777,9409,15840750
24,"Raonic, Milos",1409446,1405103,4343,15804114
25,"Kuerten, Gustavo",0,0,0,14807000
26,"Bryan, Bob",539237,0,539237,14695822
27,"Lopez, Feliciano",1731751,1303087,428664,14640010
28,"Bjorkman, Jonas",0,0,0,14610671
29,"Verdasco, Fernando",1399586,1221155,178431,14490880
30,"Bryan, Mike",539237,0,539237,14470642
31,"Safin, Marat",0,0,0,14373291
32,"Dimitrov, Grigor",6608510,6575244,33266,14083976
33,"Courier, Jim",0,0,0,14034132
34,"Ferrero, Juan Carlos",5269,0,5269,13998165
35,"Youzhny, Mikhail",489264,461710,27554,13863808
36,"Monfils, Gael",1043358,1021555,21803,13744378
37,"Haas, Tommy",296381,261904,34477,13609987
38,"Moya, Carlos",0,0,0,13443970
39,"Robredo, Tommy",274902,232308,42594,13172359
40,"Nestor, Daniel",209878,0,209878,12739415
41,"Stich, Michael",0,0,0,12595128
42,"Isner, John",1836954,1707550,129404,12567465
43,"McEnroe, John",0,0,0,12552132
44,"Simon, Gilles",706338,666044,40294,12475521
45,"Muster, Thomas",0,0,0,12266977
46,"Henman, Tim",0,0,0,11635542
47,"Bruguera, Sergi",0,0,0,11632199
48,"Mirnyi, Max",181006,0,181006,11599064
49,"Stepanek, Radek",118181,94064,24117,11343464
50,"Rafter, Patrick",0,0,0,11133128
51,"Nalbandian, David",0,0,0,11123125
52,"Almagro, Nicolas",381355,362841,18514,10742287
53,"Kohlschreiber, Philipp",1210571,1171269,39302,10736926
54,"Enqvist, Thomas",0,0,0,10461641
55,"Korda, Petr",0,0,0,10448900
56,"Soderling, Robin",0,0,0,10423124
57,"Corretja, Alex",0,0,0,10411354
58,"Anderson, Kevin",2857945,2842345,15600,10241620
59,"Ljubicic, Ivan",0,0,0,10181121
60,"Woodbridge, Todd",0,0,0,10078820
61,"Krajicek, Richard",0,0,0,10077425
62,"Santoro, Fabrice",0,0,0,10013832
63,"Querrey, Sam",2402827,2232149,170678,9977508
64,"Ferreira, Wayne",0,0,0,9969617
65,"Melzer, Jurgen",99453,80169,19284,9936146
66,"Rios, Marcelo",0,0,0,9713771
67,"Thiem, Dominic",4345626,4283907,61719,9507497
68,"Granollers, Marcel",884432,339238,545194,9390048
69,"Fognini, Fabio",1429055,1304964,124091,9337102
70,"Benneteau, Julien",731934,570506,161428,8997245
71,"Goffin, David",3904676,3890613,14063,8995195
72,"Rusedski, Greg",0,0,0,8944841
73,"Gonzalez, Fernando",0,0,0,8862276
74,"Karlovic, Ivo",670230,670230,0,8790533
75,"Mahut, Nicolas",1355714,608164,747550,8779268
76,"Seppi, Andreas",609153,562562,46591,8769327
77,"Connors, Jimmy",0,0,0,8641040
78,"Woodforde, Mark",0,0,0,8551305
79,"Llodra, Michael",0,0,0,8533350
80,"Zimonjic, Nenad",227539,0,227539,8369339
81,"Paes, Leander",129037,0,129037,8362767
82,"Martin, Todd",0,0,0,8232355
83,"Tipsarevic, Janko",317902,301145,16757,8189576
84,"Sock, Jack",3406573,3149419,257154,8171779
85,"Baghdatis, Marcos",513488,486565,26923,8147973
86,"Grosjean, Sebastien",0,0,0,8131803
87,"Monaco, Juan",34185,32800,1385,8091242
88,"Troicki, Viktor",989184,886201,102983,8060087
89,"Blake, James",0,0,0,7981786
90,"Wilander, Mats",0,0,0,7956101
91,"Haarhuis, Paul",0,0,0,7751962
92,"Nieminen, Jarkko",0,0,0,7743345
93,"Costa, Albert",0,0,0,7685228
94,"Novak, Jiri",0,0,0,7618613
95,"Kiefer, Nicolas",0,0,0,7480465
96,"Fish, Mardy",0,0,0,7460641
97,"Garcia-Lopez, Guillermo",497001,403631,93370,7454851
98,"Bautista Agut, Roberto",1794937,1753055,41882,7430934
99,"Schuettler, Rainer",0,0,0,7407508
100,"Johansson, Thomas",0,0,0,7168029
101,"Clement, Arnaud",0,0,0,7125228
