Rank,Player,YTD,Singles,Doubles,Career
1,"Alcaraz, Carlos",21354778,21354778,0,60032046
2,"Sinner, Jannik",19120641,19114396,6245,56632426
3,"Zverev, Alexander",7468230,7384324,83906,58134592
4,"de Minaur, Alex",6666087,6616603,49484,22526270
5,"Musetti, Lorenzo",6345640,6176026,169614,14166004
6,"Fritz, Taylor",5938539,5919347,19192,28896292
7,"Auger-Aliassime, Felix",5820031,5786377,33654,20229563
8,"Shelton, Ben",5672734,5528128,144606,11197426
9,"Djokovic, Novak",5140175,5127245,12930,191252375
10,"Ruud, Casper",3971374,3947549,23825,26807809
11,"Rublev, Andrey",3610136,3485060,125076,31306132
12,"Medvedev, Daniil",3512178,3505933,6245,48820721
13,"Draper, Jack",3446994,3421704,25290,8443805
14,"Davidovich Fokina, Alejandro",3404529,3363815,40714,10689945
15,"Rune, Holger",3340029,3333784,6245,15209776
16,"Khachanov, Karen",3307201,3170381,136820,21607377
17,"Mensik, Jakub",3126711,3052560,74151,4680106
18,"Bublik, Alexander",3084445,3031579,52866,10771942
19,"Cobolli, Flavio",2718529,2623372,95157,5099053
20,"Lehecka, Jiri",2684487,2596590,87897,7092295
21,"Cerundolo, Francisco",2683442,2580508,102934,8745333
22,"Rinderknech, Arthur",2363389,2312833,50556,6036568
23,"Paul, Tommy",2351622,2334222,17400,12572314
24,"Machac, Tomas",2347618,2161964,185654,5659097
25,"Tien, Learner",2309803,2245561,64242,3028887
26,"Tsitsipas, Stefanos",2208778,2174910,33868,36211925
27,"Tiafoe, Frances",2114536,2069592,44944,15583132
28,"Nakashima, Brandon",2112032,2040627,71405,6750479
29,"Shapovalov, Denis",2043079,2018950,24129,14399177
30,"Norrie, Cameron",2015212,1972588,42624,13738332
31,"Vacherot, Valentin",1953312,1945447,7865,2338735
32,"Munar, Jaume",1935134,1795515,139619,6697366
33,"Griekspoor, Tallon",1904549,1790038,114511,6914505
34,"Sonego, Lorenzo",1863836,1661931,201905,9227898
35,"Popyrin, Alexei",1839584,1707310,132274,8608253
36,"Fonseca, Joao",1769740,1757191,12549,2592310
37,"Diallo, Gabriel",1755135,1694023,61112,2637327
38,"Dimitrov, Grigor",1753525,1735659,17866,31045068
39,"Darderi, Luciano",1749423,1625078,124345,3155792
40,"Cash, Julian",1726083,0,1726083,2256897
41,"Glasspool, Lloyd",1715246,0,1715246,3359090
42,"Borges, Nuno",1694475,1530329,164146,4298081
43,"Michelsen, Alex",1685043,1464284,220759,3724541
44,"Humbert, Ugo",1647011,1635293,11718,10021604
45T,"Heliovaara, Harri",1551921,0,1551921,3791849
45T,"Patten, Henry",1551921,0,1551921,2699540
