Rank,Player,YTD,Singles,Doubles,Career
113T,"Molteni, Andres",657160,0,657160,2036363
115,"Muller, Alexandre",650666,635217,15449,1264647
116,"Isner, John",650344,558040,92304,22430808
117,"Nys, Hugo",639635,8520,631115,1471684
118,"Marozsan, Fabian",637578,636107,1471,715695
119,"Pella, Guido",635382,593718,41664,6368373
120,"Fognini, Fabio",620035,512733,107302,18130582
121,"Zielinski, Jan",619267,0,619267,1007002
122,"Garin, Cristian",606145,603465,2680,5615628
123,"Monteiro, Thiago",566618,536898,29720,3311339
124,"Arevalo, Marcelo",564004,0,564004,2334781
125,"Rojer, Jean-Julien",556209,0,556209,6961029
126,"Watanuki, Yosuke",555249,547554,7695,923662
127,"Dellien, Hugo",555123,510782,44341,2109148
128,"Kotov, Pavel",537663,533537,4126,920784
129,"Ymer, Mikael",536540,536540,0,2745945
130,"Goffin, David",536049,532543,3506,17007276
131,"Lammons, Nathaniel",534755,0,534755,895530
132,"Krawietz, Kevin",529163,0,529163,2820942
133,"Withrow, Jackson",519854,0,519854,1026067
134T,"Murray, Jamie",516069,0,516069,6433167
134T,"Venus, Michael",516069,0,516069,4113893
136,"Coria, Federico",515892,502895,12997,2462674
137,"Otte, Oscar",505387,478412,26975,2444549
138,"Martinez, Pedro",474803,433175,41628,3228974
139,"Vavassori, Andrea",474641,290161,184480,1122432
140,"Cecchinato, Marco",467752,452676,15076,4959644
141,"Puetz, Tim",466465,0,466465,1951018
142,"Cobolli, Flavio",464897,458612,6285,756214
143,"Albot, Radu",458749,453480,5269,5022641
144,"Nardi, Luca",455096,450412,4684,675997
145,"Gaston, Hugo",448105,446233,1872,2062250
146,"Broady, Liam",443839,412562,31277,1883147
147,"Marterer, Maximilian",438252,435995,2257,2450547
148,"Machac, Tomas",431964,430579,1385,1048765
149,"Martin, Fabrice",431369,0,431369,2361784
150,"Michelsen, Alex",428267,425147,3120,447830
151T,"Gille, Sander",411609,0,411609,1240011
151T,"Vliegen, Joran",411609,0,411609,1242042
153,"Shang, Juncheng",407479,397940,9539,508185
154,"Kovacevic, Aleksandar",402247,383543,18704,603742
155,"Vesely, Jiri",398519,398035,484,5953146
156,"Heliovaara, Harri",397454,0,397454,1252752
157,"Meligeni Alves, Felipe",391036,385886,5150,819519
158,"Seyboth Wild, Thiago",390031,373679,16352,934189
159,"Cerundolo, Juan Manuel",388823,386314,2509,873158
160,"Koepfer, Dominik",387174,375124,12050,2693625
161,"Glasspool, Lloyd",385958,0,385958,1180278
162,"Haase, Robin",375472,18313,357159,8223759
163,"Pavic, Mate",361765,0,361765,5475336
164,"Mahut, Nicolas",349077,0,349077,12683430
165,"Mies, Andreas",348712,0,348712,2049947
166,"Kudla, Denis",340094,303098,36996,4493625
167,"Tabilo, Alejandro",335032,331517,3515,1313600
168,"Rodionov, Jurij",334710,331781,2929,1000805
169,"Brouwer, Gijs",331881,324928,6953,629392
170,"Peers, John",329524,0,329524,5506121
171,"Couacaud, Enzo",328815,316791,12024,1161822
172,"Nava, Emilio",327940,327090,850,645274
173,"Hsu, Yu Hsiou",327163,315672,11491,461920
174,"Paire, Benoit",325106,318357,6749,10306449
175,"Melo, Marcelo",323482,0,323482,8042803
176,"Zeppieri, Giulio",323192,311963,11229,611684
177,"Skatov, Timofey",323090,321038,2052,539703
178,"Barrios Vera, Tomas",322991,318730,4261,775528
179,"Bergs, Zizou",322712,308039,14673,682103
180,"Diaz Acosta, Facundo",322452,321667,785,472843
181,"Chardy, Jeremy",322211,221967,100244,10857975
182,"Ymer, Elias",321798,320888,910,1823548
183,"Shelbayh, Abdullah",320757,308165,12592,336700
184,"Miedler, Lucas",320053,4388,315665,766851
185,"Mektic, Nikola",318664,0,318664,4511240
186,"Middelkoop, Matwe",316243,0,316243,2064882
187,"Erler, Alexander",315205,8550,306655,571865
188,"Nadal, Rafael",310797,310797,0,134640719
189,"Tirante, Thiago Agustin",307959,299202,8757,516952
190,"Reboul, Fabien",302145,0,302145,552378
191,"Doumbia, Sadio",297896,0,297896,581351
192,"Kwon, Soonwoo",296693,296211,482,2597308
193,"Krajinovic, Filip",292926,292926,0,6138952
194,"Mochizuki, Shintaro",291005,282568,8437,417584
195,"Raonic, Milos",290922,290922,0,20509904
196,"Duckworth, James",290849,290064,785,3489921
197,"Cazaux, Arthur",288697,285026,3671,492350
198,"Virtanen, Otto",286245,280245,6000,373671
199,"Bagnis, Facundo",283604,267582,16022,2856923
200,"Choinski, Jan",277130,274249,2881,456600
201,"Grenier, Hugo",274432,272489,1943,839219
202,"Svrcina, Dalibor",273086,264293,8793,429234
203,"Olivieri, Genaro Alberto",266361,264834,1527,421240
204,"Polmans, Marc",261635,234734,26901,1540730
205,"Shimabukuro, Sho",259867,249878,9989,341194
206,"Holt, Brandon",259771,257204,2567,472125
207,"Herbert, Pierre-Hugues",256912,132461,124451,9229799
208,"Lokoli, Laurent",252203,250656,1547,575898
209,"Bellucci, Mattia",247837,241796,6041,314782
210,"Moreno De Alboran, Nicolas",246591,229900,16691,375482
211,"Bolelli, Simone",242907,0,242907,6286338
212,"Mensik, Jakub",242767,239579,3188,266446
213,"Mayot, Harold",240728,219626,21102,427998
214,"Diallo, Gabriel",239600,226318,13282,281135
215,"Passaro, Francesco",236958,228019,8939,529088
216,"Misolic, Filip",235661,233971,1690,405284
217,"Coppejans, Kimmer",235602,233081,2521,1118624
218,"Sousa, Joao",225057,208393,16664,8325774
219,"Matos, Rafael",224292,0,224292,653667
220,"Peniston, Ryan",223755,218433,5322,611667
221,"Svajda, Zachary",216949,216949,0,492735
222,"Piros, Zsombor",216926,216657,269,445752
223,"Gomez, Emilio",214916,211909,3007,1049271
224,"Johnson, Steve",214616,203616,11000,8054783
225,"Pellegrino, Andrea",214598,149555,65043,576247
226,"Kuzmanov, Dimitar",211052,209129,1923,755796
227,"Riedi, Leandro",209792,199632,10160,307698
228,"Droguet, Titouan",201561,198436,3125,265239
229,"Tseng, Chun-Hsin",201078,199307,1771,841113
230,"Krutykh, Oleksii",198359,195022,3337,285245
231,"Escobar, Gonzalo",195067,0,195067,840675
232,"Nedovyesov, Aleksandr",194699,530,194169,1404242
233,"Blancaneaux, Geoffrey",194595,187123,7472,711536
234,"Novak, Dennis",194175,192374,1801,1917398
235,"Mpetshi Perricard, Giovanni",193730,184615,9115,255391
236,"Klein, Lukas",193516,192019,1497,442212
237,"Brooksby, Jenson",192502,192502,0,2035768
238,"Kopriva, Vit",192440,185877,6563,504327
239,"Kovalik, Jozef",190388,188732,1656,1757812
240,"Kolar, Zdenek",189528,162825,26703,982741
241,"Cabal, Juan Sebastian",189424,0,189424,5264879
242,"Dzumhur, Damir",188963,186706,2257,4875845
243,"Darderi, Luciano",188940,172798,16142,290149
244,"Pospisil, Vasek",187489,172549,14940,7145734
245,"Arneodo, Romain",187045,0,187045,605825
246,"Wu, Tung-Lin",185783,184279,1504,463471
247,"Weissborn, Sam",181698,290,181408,435985
248,"Brancaccio, Raul",179860,177411,2449,407792
249,"de Jong, Jesper",177075,172233,4842,446750
250,"Cabral, Francisco",176922,0,176922,330121
251,"Andreev, Adrian",175248,171709,3539,320091
252,"Behar, Ariel",175093,0,175093,860219
253,"Galloway, Robert",174908,509,174399,391583
