Rank,Player,YTD,Singles,Doubles,Career
1,"Federer, Roger",6634017,6624892,9125,95245556
2,"Djokovic, Novak",16760145,16706125,54020,89164053
3,"Nadal, Rafael",3275888,3188513,87375,74655125
4,"Sampras, Pete",0,0,0,43280489
5,"Murray, Andy",6486230,6456153,30077,40676316
6,"Agassi, Andre",0,0,0,31152975
7,"Ferrer, David",3065755,3043627,22128,27798864
8,"Becker, Boris",0,0,0,25080956
9,"Kafelnikov, Yevgeny",0,0,0,23883797
10,"Berdych, Tomas",3128082,3090921,37161,23177551
11,"Lendl, Ivan",0,0,0,21262417
12,"Hewitt, Lleyton",264279,212068,52211,20717156
13,"Roddick, Andy",2640,0,2640,20640030
14,"Edberg, Stefan",0,0,0,20630941
15,"Ivanisevic, Goran",0,0,0,19878007
16,"Wawrinka, Stan",5336877,5299265,37612,19736676
17,"Chang, Michael",0,0,0,19145632
18,"Tsonga, Jo-Wilfried",1963690,1936220,27470,16436474
19,"Davydenko, Nikolay",0,0,0,16186480
20,"Del Potro, Juan Martin",23475,23475,0,15369422
21,"Kuerten, Gustavo",0,0,0,14807000
22,"Bjorkman, Jonas",0,0,0,14610671
23,"Safin, Marat",0,0,0,14373291
24,"Courier, Jim",0,0,0,14034132
25,"Ferrero, Juan Carlos",0,0,0,13992895
26,"Moya, Carlos",0,0,0,13443970
27,"Cilic, Marin",2063576,2033973,29603,13380332
28,"Haas, Tommy",201072,183560,17512,13313605
29,"Bryan, Bob",702722,0,702722,13301074
30,"Gasquet, Richard",2146835,2136995,9840,13109902
31,"Bryan, Mike",706465,0,706465,13075894
32,"Youzhny, Mikhail",442517,405766,36751,12806538
33,"Robredo, Tommy",746317,714706,31611,12787213
34,"Stich, Michael",0,0,0,12595128
35,"McEnroe, John",0,0,0,12552132
36,"Muster, Thomas",0,0,0,12266977
37,"Verdasco, Fernando",819607,745137,74470,12245234
38,"Nestor, Daniel",488767,0,488767,12089606
39,"Henman, Tim",0,0,0,11635542
40,"Bruguera, Sergi",0,0,0,11632199
41,"Lopez, Feliciano",1542755,1350027,192728,11201822
42,"Rafter, Patrick",0,0,0,11133128
43,"Nalbandian, David",0,0,0,11123125
44,"Mirnyi, Max",246257,0,246257,11035168
45,"Nishikori, Kei",2712055,2702325,9730,10735625
46,"Stepanek, Radek",328016,241037,86979,10645526
47,"Simon, Gilles",1475856,1437081,38775,10510871
48,"Enqvist, Thomas",0,0,0,10461641
49,"Korda, Petr",0,0,0,10448900
50,"Soderling, Robin",0,0,0,10423124
51,"Corretja, Alex",0,0,0,10411354
52,"Ljubicic, Ivan",0,0,0,10181121
53,"Woodbridge, Todd",0,0,0,10078820
54,"Krajicek, Richard",0,0,0,10077425
55,"Santoro, Fabrice",0,0,0,10013832
56,"Ferreira, Wayne",0,0,0,9969617
57,"Melzer, Jurgen",358460,271587,86873,9734956
58,"Rios, Marcelo",0,0,0,9713771
59,"Almagro, Nicolas",437670,388306,49364,9558871
60,"Monfils, Gael",1069706,1033015,36691,9328600
61,"Rusedski, Greg",0,0,0,8944841
62,"Gonzalez, Fernando",0,0,0,8862276
63,"Isner, John",1776682,1699342,77340,8834246
64,"Raonic, Milos",1493503,1482983,10520,8806174
65,"Connors, Jimmy",0,0,0,8641040
66,"Kohlschreiber, Philipp",775355,761540,13815,8555984
67,"Woodforde, Mark",0,0,0,8551305
