Rank,Player,YTD,Singles,Doubles,Career
1,"Djokovic, Novak",15967184,15934672,32512,125772589
2,"Zverev, Alexander",8706298,8566914,139384,15747928
3,"Nadal, Rafael",8663347,8663347,0,103251975
4,"Federer, Roger",8629233,8629233,0,120514916
5,"del Potro, Juan Martin",6486251,6445766,40485,25359003
6,"Anderson, Kevin",5491352,5457699,33653,15732933
7,"Cilic, Marin",5187148,5187148,0,26106425
8,"Thiem, Dominic",4624646,4556745,67901,14132144
9,"Isner, John",4320641,4046875,273766,16888108
10,"Nishikori, Kei",4049255,4044388,4867,21673386
11,"Khachanov, Karen",3496854,3336360,160494,5345535
12,"Coric, Borna",3026481,3015356,11125,5631859
13,"Tsitsipas, Stefanos",2585667,2519614,66053,2936678
14,"Edmund, Kyle",2199984,2142514,57470,4317977
15,"Fognini, Fabio",2088249,1926978,161271,11425274
16,"Basilashvili, Nikoloz",2070214,2023705,46509,3479870
17,"Sock, Jack",2052053,738747,1313306,10273781
18,"Schwartzman, Diego",2051157,1891302,159855,5064725
19,"Dimitrov, Grigor",1818849,1781443,37406,15902694
20,"Carreno Busta, Pablo",1817782,1661863,155919,7564077
21,"Raonic, Milos",1784657,1783442,1215,17588771
22,"Bryan, Mike",1778177,0,1778177,16248813
23,"Goffin, David",1737921,1720860,17061,10813075
24,"Bautista Agut, Roberto",1725352,1717622,7730,9156286
25,"Medvedev, Daniil",1665414,1645300,20114,2604780
26,"Verdasco, Fernando",1654378,1473493,180885,16145181
27,"Chung, Hyeon",1588383,1550978,37405,3275423
28,"Herbert, Pierre-Hugues",1563924,848674,715250,5585112
29,"Cecchinato, Marco",1505180,1439736,65444,2243639
30,"Shapovalov, Denis",1500033,1461155,38878,2328946
31,"Gasquet, Richard",1381694,1366584,15110,17222444
32,"Pouille, Lucas",1339275,1260218,79057,5853432
33,"Kohlschreiber, Philipp",1287751,1226421,61330,12024679
34,"Monfils, Gael",1269851,1245866,23985,15014229
35,"Struff, Jan-Lennard",1267772,918302,349470,3645292
36,"de Minaur, Alex",1252959,1229030,23929,1486516
37,"Dzumhur, Damir",1243088,1108420,134668,3423959
38,"Sousa, Joao",1233370,1033433,199937,5530254
39,"Mannarino, Adrian",1195942,1115101,80841,5954111
40,"Haase, Robin",1195354,942335,253019,6464527
41,"Lopez, Feliciano",1190793,824652,366141,15830804
42,"Querrey, Sam",1186361,1028867,157494,11163869
43,"Rublev, Andrey",1170921,1029862,141059,2868821
44,"Simon, Gilles",1159829,1141864,17965,13635351
45,"Pavic, Mate",1132837,0,1132837,2226803
46,"Marach, Oliver",1108340,0,1108340,3913323
47,"Kyrgios, Nick",1102012,1040332,61680,6616904
48,"Fucsovics, Marton",1093641,1041076,52565,1753975
49,"Johnson, Steve",1089134,953195,135939,5320644
50,"Mayer, Leonardo",1081273,938351,142922,5866207
51,"Tiafoe, Frances",1079147,1026059,53088,1928379
52,"Zverev, Mischa",1071005,888180,182825,5186537
53,"Paire, Benoit",1056836,988183,68653,6235823
54,"Seppi, Andreas",1052192,976776,75416,9821519
55,"Millman, John",1021405,971320,50085,2398616
56,"Chardy, Jeremy",1019815,952070,67745,8113032
57,"Ramos-Vinolas, Albert",1003239,928421,74818,6428963
58,"Jaziri, Malek",998535,887186,111349,3392585
59,"Mahut, Nicolas",996063,239462,756601,9775328
60,"Lajovic, Dusan",969301,921383,47918,3277158
61,"Ebden, Matthew",961714,871765,89949,2932255
62,"Jarry, Nicolas",957751,799214,158537,1256286
63T,"Kubot, Lukasz",917590,0,917590,7366775
63T,"Melo, Marcelo",917590,0,917590,6166742
65T,"Cabal, Juan Sebastian",894527,0,894527,2621333
65T,"Farah, Robert",894527,0,894527,2319717
67,"Gojowczyk, Peter",881945,848398,33547,2051145
68,"Pella, Guido",879596,799757,79839,2772383
69,"Fritz, Taylor",870031,832246,37785,1838709
70,"Sandgren, Tennys",865275,808871,56404,1344061
71,"Kukushkin, Mikhail",864890,852741,12149,4527909
72,"Harrison, Ryan",850683,731632,119051,4475512
73,"Wawrinka, Stan",839408,834541,4867,31661354
74,"Marterer, Maximilian",825510,789332,36178,1141392
75,"Cuevas, Pablo",818990,619800,199190,7546788
76T,"Murray, Jamie",813324,0,813324,4259323
76T,"Soares, Bruno",813324,0,813324,5323825
78,"Krajinovic, Filip",793806,736524,57282,2139931
79,"Berrettini, Matteo",781675,709801,71874,891078
80,"Copil, Marius",757107,733335,23772,1910926
81,"Bryan, Bob",717176,0,717176,15412992
82,"Albot, Radu",714399,579727,134672,1982880
83,"Berdych, Tomas",711846,711846,0,28931999
84,"Mektic, Nikola",680664,0,680664,1295971
85,"Zeballos, Horacio",656244,360056,296188,4259061
86,"Bedene, Aljaz",637638,635628,2010,2927200
87,"Garcia-Lopez, Guillermo",630688,550437,80251,8085540
88,"Kudla, Denis",618799,589704,29095,2285731
89,"Venus, Michael",617461,5075,612386,1780112
90,"Klaasen, Raven",610316,0,610316,2681450
91,"Donskoy, Evgeny",609310,585987,23323,2544887
92,"Donaldson, Jared",596435,596435,0,2053567
93,"Sugita, Yuichi",595935,579557,16378,2209465
94,"Muller, Gilles",588745,556113,32632,5991874
95,"Baghdatis, Marcos",587890,578200,9690,8735839
96,"Vesely, Jiri",587729,554048,33681,3505564
97,"Peya, Alexander",583508,0,583508,4421345
98,"Delbonis, Federico",581717,519663,62054,3370065
99,"McDonald, Mackenzie",568161,537013,31148,821295
100,"Granollers, Marcel",560466,199664,360802,9950504
101,"Munar, Jaume",558694,538099,20595,685184
102,"Norrie, Cameron",553378,512061,41317,824926
103,"Nishioka, Yoshihito",549440,508046,41394,1326428
104,"Pospisil, Vasek",539228,512161,27067,5287905
105,"Klizan, Martin",535368,523626,11742,4810128
106,"Istomin, Denis",524151,493370,30781,5860155
107,"Carballes Baena, Roberto",520107,483450,36657,1037105
108,"Ferrer, David",510316,494455,15861,31306836
109,"Daniel, Taro",499030,483044,15986,1432113
110,"Lorenzi, Paolo",498442,462269,36173,4538129
111,"Rojer, Jean-Julien",492480,19000,473480,4587993
112,"Basic, Mirza",489289,445003,44286,962688
