Rank,Player,YTD,Singles,Doubles,Career
1,"Sinner, Jannik",16946149,16914035,32114,33989584
2,"Alcaraz, Carlos",9850338,9850338,0,36876485
3,"Zverev, Alexander",8995103,8839406,155697,47543924
4,"Fritz, Taylor",7006195,6915586,90609,21087553
5,"Medvedev, Daniil",5615756,5573010,42746,43764163
6,"Ruud, Casper",5065307,5010351,54956,21591822
7,"Djokovic, Novak",4421915,4421915,0,185065269
8,"Rublev, Andrey",4130816,4067753,63063,25686167
9,"de Minaur, Alex",4080046,4041718,38328,15303985
10,"Tsitsipas, Stefanos",3528424,3392603,135821,32149165
11,"Dimitrov, Grigor",3186056,3169105,16951,28321326
12,"Paul, Tommy",2940923,2912091,28832,9581908
13,"Thompson, Jordan",2893246,1683840,1209406,8001701
14,"Humbert, Ugo",2817088,2767446,49642,7878075
15,"Draper, Jack",2745025,2707707,37318,4567996
16,"Hurkacz, Hubert",2729808,2701708,28100,16363930
17,"Tiafoe, Frances",2729135,2699718,29417,12937941
18,"Musetti, Lorenzo",2715979,2646694,69285,7625733
19,"Rune, Holger",2707145,2673232,33913,10660499
20,"Khachanov, Karen",2519587,2413465,106122,17730963
21,"Shelton, Ben",2403182,2222233,180949,5199849
22,"Popyrin, Alexei",2336806,2301802,35004,6292837
23,"Fils, Arthur",2259048,2174206,84842,3605603
24,"Korda, Sebastian",2185286,1902107,283179,6589213
25,"Machac, Tomas",2018074,1800531,217543,3066841
26,"Cerundolo, Francisco",1818980,1686753,132227,5671619
27,"Jarry, Nicolas",1806343,1721544,84799,6188132
28,"Auger-Aliassime, Felix",1780879,1753111,27768,13718990
29,"Tabilo, Alejandro",1768245,1648299,119946,3081845
30,"Purcell, Max",1763725,773141,990584,4609305
31,"Griekspoor, Tallon",1763220,1570029,193191,4962032
32,"Baez, Sebastian",1760418,1683092,77326,4354356
33,"Bublik, Alexander",1714205,1527508,186697,7609448
34,"Zhang, Zhizhen",1669281,1448941,220340,3421597
35,"Arnaldi, Matteo",1620156,1599342,20814,2838841
36,"Cobolli, Flavio",1616189,1544117,72072,2372403
37,"Etcheverry, Tomas Martin",1584681,1452743,131938,3820960
38,"Lehecka, Jiri",1554981,1527318,27663,4197842
39,"Borges, Nuno",1453053,1375761,77292,2594542
40,"Mpetshi Perricard, Giovanni",1443482,1397441,46041,1698874
41,"Nakashima, Brandon",1419129,1391107,28022,4589254
42,"Mannarino, Adrian",1415012,1308732,106280,13003294
43,"Struff, Jan-Lennard",1408984,1309920,99064,10854229
44,"Kecmanovic, Miomir",1354634,1306225,48409,6561552
45,"Michelsen, Alex",1331687,1192328,139359,1779517
46,"Marozsan, Fabian",1321800,1270317,51483,2037496
47,"Monfils, Gael",1305034,1305034,0,23030757
48T,"Arevalo, Marcelo",1280727,0,1280727,3615508
48T,"Pavic, Mate",1280727,0,1280727,6756064
50,"Norrie, Cameron",1271422,1263998,7424,11403431
51,"Davidovich Fokina, Alejandro",1239151,1217056,22095,6952885
52,"Sonego, Lorenzo",1228897,1169347,59550,6860606
53,"Shapovalov, Denis",1168029,1138879,29150,12220256
54,"Vavassori, Andrea",1159343,199530,959813,2281776
55,"Giron, Marcos",1157536,1111370,46166,4866378
