Rank,Player,YTD,Singles,Doubles,Career
1,"Djokovic, Novak",9934582,9934582,0,164691308
2,"Alcaraz, Carlos",7655130,7627613,27517,9382442
3,"Nadal, Rafael",7442076,7440806,1270,132403671
4,"Ruud, Casper",6942316,6930042,12274,11868736
5,"Tsitsipas, Stefanos",5648416,5479442,168974,22165629
6,"Fritz, Taylor",4570481,4489807,80674,10062141
7,"Rublev, Andrey",4229954,4106247,123707,14546458
8,"Auger-Aliassime, Felix",4186042,4107342,78700,9588345
9,"Medvedev, Daniil",4178524,4146312,32212,26600381
10,"Kyrgios, Nick",3490464,2916349,574115,12478415
11,"Hurkacz, Hubert",3419164,3011575,407589,8485476
12,"Norrie, Cameron",2928356,2846575,81781,7950472
13,"Carreno Busta, Pablo",2885865,2842960,42905,15106842
14,"Sinner, Jannik",2855466,2818491,36975,6587168
15,"Zverev, Alexander",2678178,2585002,93176,32905055
16,"Shapovalov, Denis",2595551,2409460,186091,10144348
17,"Rune, Holger",2384089,2335215,48874,2767278
18,"Berrettini, Matteo",2193774,2183648,10126,10518790
19,"Tiafoe, Frances",2106104,2032406,73698,7252175
20,"de Minaur, Alex",2057316,1990039,67277,7841472
21,"Schwartzman, Diego",2004231,1863280,140951,12896389
22,"Khachanov, Karen",1985393,1889330,96063,12226024
23,"Cilic, Marin",1971088,1955408,15680,31181242
24,"Bautista Agut, Roberto",1804064,1787924,16140,16634876
25,"Evans, Daniel",1790187,1612801,177386,6284257
26,"Isner, John",1668178,1076536,591642,21780462
27,"Nakashima, Brandon",1662689,1646923,15766,2471463
28,"Davidovich Fokina, Alejandro",1662555,1531719,130836,3522215
29,"Musetti, Lorenzo",1661181,1620201,40980,2710164
30,"Coric, Borna",1603586,1603586,0,10112755
31,"Kecmanovic, Miomir",1560836,1492670,68166,4124762
32,"Dimitrov, Grigor",1540569,1488481,52088,21958744
33,"Paul, Tommy",1539608,1408362,131246,3709970
34,"Ram, Rajeev",1510408,30000,1480408,8067798
35,"Salisbury, Joe",1510348,0,1510348,3881356
36,"van de Zandschulp, Botic",1474274,1378752,95522,2489851
37,"Garin, Cristian",1413284,1408343,4941,5009483
38,"Goffin, David",1269844,1268574,1270,16471225
39,"Bublik, Alexander",1252206,1134816,117390,4241652
40T,"Koolhof, Wesley",1219027,0,1219027,2939519
40T,"Skupski, Neal",1219027,0,1219027,2599842
42,"Sonego, Lorenzo",1210391,1087388,123003,4318297
43,"Fognini, Fabio",1199767,875606,324161,17510546
44,"Cerundolo, Francisco",1179166,1113269,65897,1559909
45,"Basilashvili, Nikoloz",1155830,1061681,94149,8581533
46,"Cressy, Maxime",1146312,1080806,65506,1778780
47,"Kokkinakis, Thanasi",1134903,590958,543945,2800187
48,"McDonald, Mackenzie",1131732,991866,139866,3691568
49,"Ramos-Vinolas, Albert",1118452,957144,161308,9850134
50,"Korda, Sebastian",1103155,1070744,32411,2676567
51,"Krajinovic, Filip",1097308,1069728,27580,5846025
52,"Mannarino, Adrian",1084449,980387,104062,9620632
53,"Brooksby, Jenson",1062932,1062932,0,1843266
54,"Martinez, Pedro",1060630,815619,245011,2754171
55,"Karatsev, Aslan",1045477,938837,106640,3368149
56,"Ruusuvuori, Emil",1029911,995458,34453,2143427
57,"Pavic, Mate",1026041,0,1026041,5113571
58,"Mektic, Nikola",1006438,0,1006438,4192576
59,"Nishioka, Yoshihito",981373,946014,35359,4398435
60,"Murray, Andy",933978,933978,0,63248285
61,"Molcan, Alex",928267,908924,19343,1362138
62,"Baez, Sebastian",926683,888761,37922,1247486
63,"Giron, Marcos",924238,861391,62847,2630727
64,"Lajovic, Dusan",895547,854402,41145,7857157
65,"Draper, Jack",883005,882161,844,1085063
66,"Opelka, Reilly",881496,874633,6863,4224870
67,"Rinderknech, Arthur",869291,827542,41749,1683355
68,"Otte, Oscar",859987,816158,43829,1939160
69,"Humbert, Ugo",853469,826460,27009,3362711
70,"Purcell, Max",843079,243157,599922,1775238
71,"Kwon, Soonwoo",841992,781001,60991,2300615
72,"Bonzi, Benjamin",827289,768834,58455,1772047
73T,"Arevalo, Marcelo",815215,0,815215,1770777
73T,"Rojer, Jean-Julien",815215,0,815215,6404820
75,"Gasquet, Richard",814218,807643,6575,19855814
76,"Delbonis, Federico",812873,730622,82251,6010179
77,"Munar, Jaume",812098,755098,57000,2994151
78,"Lehecka, Jiri",805667,793848,11819,952333
79,"Djere, Laslo",796173,764798,31375,3920936
80,"Griekspoor, Tallon",777905,719705,58200,1562602
81,"Ivashka, Ilya",774184,751088,23096,2645360
82,"Vesely, Jiri",772600,734492,38108,5554625
83,"Johnson, Steve",742606,683610,58996,7840167
84,"Monfils, Gael",741855,729145,12710,20983413
85,"Fucsovics, Marton",734207,702250,31957,5440121
