Rank,Player,YTD,Singles,Doubles,Career
1,"Nadal, Rafael",16349586,16349586,0,119601561
2,"Djokovic, Novak",13372355,13277228,95127,139144944
3,"Federer, Roger",8716975,8716975,0,129231891
4,"Thiem, Dominic",8000223,7836322,163901,22132368
5,"Medvedev, Daniil",7902912,7833320,69592,10507693
6,"Tsitsipas, Stefanos",7488927,7272204,216723,10425605
7,"Zverev, Alexander",4280635,4143723,136912,20028563
8,"Berrettini, Matteo",3439783,3363218,76565,4330862
9,"Monfils, Gael",2916587,2901347,15240,17930816
10,"Bautista Agut, Roberto",2911522,2911522,0,12067808
11,"Fognini, Fabio",2895013,2796971,98042,14320288
12,"Goffin, David",2764933,2694717,70216,13578010
13,"Schwartzman, Diego",2468031,2154554,313477,7532758
14,"Khachanov, Karen",2285081,2097841,187240,7630617
15,"Shapovalov, Denis",2207015,2010869,196146,4535961
16,"Nishikori, Kei",2173244,2144457,28787,23846631
17,"Wawrinka, Stan",2128925,2089648,39277,33790279
18,"Dimitrov, Grigor",2117523,2092433,25090,18020217
19,"de Minaur, Alex",1979782,1895709,84073,3466298
20,"Isner, John",1781798,1709328,72470,18669906
21,"Pella, Guido",1724447,1471932,252515,4496830
22,"Herbert, Pierre-Hugues",1684171,868371,815800,7269284
23,"Basilashvili, Nikoloz",1656857,1571101,85756,5136729
24,"Pouille, Lucas",1634275,1573714,60561,7487708
25,"Struff, Jan-Lennard",1633401,1416549,216852,5278695
26,"Rublev, Andrey",1573436,1408761,164675,4442257
27,"Lajovic, Dusan",1573032,1439206,133826,4850190
28,"Paire, Benoit",1539066,1413171,125895,7774890
29,"Coric, Borna",1532057,1519236,12821,7163918
30,"Auger-Aliassime, Felix",1507622,1476501,31121,1893476
31,"Carreno Busta, Pablo",1398997,1301797,97200,8963076
32,"Chardy, Jeremy",1395185,971178,424007,9508219
33T,"Cabal, Juan Sebastian",1390028,0,1390028,4011362
33T,"Farah, Robert",1390028,0,1390028,3709746
35,"Kyrgios, Nick",1384572,1312870,71702,8001478
36,"Tiafoe, Frances",1375737,1366632,9105,3304117
37,"Cilic, Marin",1359590,1344292,15298,27466016
38,"Mahut, Nicolas",1355053,279008,1076045,11130381
39,"Verdasco, Fernando",1293590,1205500,88090,17438772
40,"Raonic, Milos",1291082,1277207,13875,18879855
41,"Lopez, Feliciano",1283705,1054528,229177,17114510
42,"Fritz, Taylor",1275240,1170678,104562,3113950
43,"Hurkacz, Hubert",1228731,1169651,59080,1765336
44,"Sousa, Joao",1223400,951347,272053,6753655
45,"Djere, Laslo",1221097,1186499,34598,1965163
46,"Simon, Gilles",1195470,1151769,43701,14830821
47,"Garin, Cristian",1170459,1101786,68673,1526576
48,"Albot, Radu",1145773,996200,149573,3128654
49,"Opelka, Reilly",1115817,1042624,73193,1612478
50,"Mannarino, Adrian",1113516,1052411,61105,7067628
51,"Kecmanovic, Miomir",1102285,1046628,55657,1285541
52,"Querrey, Sam",1079494,949123,130371,12243364
53,"Kukushkin, Mikhail",1076395,991890,84505,5604304
54,"Tsonga, Jo-Wilfried",1059095,1054107,4988,22072615
55,"Edmund, Kyle",995608,923876,71732,5313587
56,"Millman, John",995238,958074,37164,3393855
57,"Cuevas, Pablo",966759,863321,103438,8513549
58,"Fucsovics, Marton",952830,879451,73379,2706806
59,"Norrie, Cameron",942623,868847,73776,1767549
60,"Ramos-Vinolas, Albert",940266,895042,45224,7369230
61,"Cecchinato, Marco",930645,844166,86479,3174284
62,"Londero, Juan Ignacio",928189,883097,45092,1226242
63,"Krajinovic, Filip",922914,891166,31748,3062847
64,"Gasquet, Richard",903012,894028,8984,18125457
65,"Thompson, Jordan",900726,832033,68693,2228346
66,"Mayer, Leonardo",889317,734918,154399,6755524
67,"Evans, Daniel",887543,820080,67463,2301746
68,"Haase, Robin",887237,520976,366261,7351765
69,"Granollers, Marcel",870663,371083,499580,10821168
70,"Ruud, Casper",848872,800656,48216,1451115
71,"Zeballos, Horacio",848157,1285,846872,5107218
72,"Sonego, Lorenzo",810416,779098,31318,1236079
73,"Nishioka, Yoshihito",810305,789919,20386,2136735
74,"Humbert, Ugo",807920,784272,23648,1062355
75,"Seppi, Andreas",807276,731463,75813,10628797
76,"Jarry, Nicolas",798800,654171,144629,2055087
77,"Kubot, Lukasz",795869,0,795869,8162644
78,"Kohlschreiber, Philipp",782918,757046,25872,12807597
79,"Sandgren, Tennys",777371,735549,41822,2121433
