Rank,Player,YTD,Singles,Doubles,Career
1,"Murray, Andy",16349701,16327821,21880,58715019
2,"Djokovic, Novak",14138824,14130464,8360,107688878
3,"Wawrinka, Stan",6856954,6849059,7895,27804631
4,"Raonic, Milos",5588492,5562684,25808,14394667
5,"Nishikori, Kei",4806748,4804963,1785,16132374
6,"Cilic, Marin",3475205,3405427,69778,16855537
7,"Monfils, Gael",3372418,3372418,0,12701019
8,"Thiem, Dominic",3152363,3047118,105245,5161869
9,"Nadal, Rafael",2836500,2714278,122222,78724627
10,"Berdych, Tomas",2612055,2583756,28299,26416606
11,"Goffin, David",2321606,2302109,19497,5090519
12,"Tsonga, Jo-Wilfried",2265379,2217645,47734,18951854
13,"Mahut, Nicolas",1991798,869846,1121952,7423552
14,"Bautista Agut, Roberto",1947666,1905873,41793,5635995
15,"Kyrgios, Nick",1802892,1757289,45603,3589419
16,"Pouille, Lucas",1771577,1673930,97647,2473023
17,"Sock, Jack",1743433,1220799,522634,4765205
18,"Lopez, Feliciano",1706435,1068604,637831,12908258
19,"Dimitrov, Grigor",1650268,1617502,32766,7475466
20,"Isner, John",1603763,1392559,211204,10730509
21,"Cuevas, Pablo",1531975,1270475,261500,5181747
22,"Federer, Roger",1527269,1527269,0,98830825
23,"Herbert, Pierre-Hugues",1453304,405112,1048192,2830416
24,"Ferrer, David",1374484,1356929,17555,29730348
25,"Zverev, Alexander",1371329,1324084,47245,1932630
26,"Carreno Busta, Pablo",1362033,990823,371210,2736933
27,"Gasquet, Richard",1325659,1302037,23622,14810563
28,"Karlovic, Ivo",1272678,1267349,5329,8120303
29,"Simon, Gilles",1258309,1209501,48808,11769181
30,"Ramos-Vinolas, Albert",1239704,1180393,59311,3643951
31,"Granollers, Marcel",1238119,867769,370350,8505616
32,"Troicki, Viktor",1233410,1092008,141402,7070901
33,"Tomic, Bernard",1174235,1085126,89109,4776168
34,"Johnson, Steve",1131315,1015212,116103,3226068
35,"Querrey, Sam",1113882,1008633,105249,7574679
36,"Klizan, Martin",1110537,1051512,59025,3893487
37,"Sousa, Joao",1084465,977038,107427,3520281
38,"Baghdatis, Marcos",981918,948524,33394,7634483
39,"Soares, Bruno",977659,0,977659,3828751
40,"Kohlschreiber, Philipp",970369,915345,55024,9526354
41,"Murray, Jamie",966990,0,966990,2769610
42,"Ram, Rajeev",923408,390750,532658,3544911
43,"del Potro, Juan Martin",923279,902365,20914,16292702
44,"Paire, Benoit",921993,844929,77064,4062237
45,"Kuznetsov, Andrey",900830,868236,32594,2220606
46,"Dodig, Ivan",887474,334252,553222,5568592
47,"Pospisil, Vasek",883227,478228,404999,4369355
48,"Garcia-Lopez, Guillermo",862840,645052,217788,6957849
49,"Verdasco, Fernando",846058,771606,74452,13091294
50,"Muller, Gilles",816735,752158,64577,4061820
51,"Almagro, Nicolas",802058,758290,43768,10360930
52,"Lorenzi, Paolo",790934,704215,86719,2887642
53,"Fognini, Fabio",782705,714581,68124,7908046
54T,"Bryan, Bob",782510,0,782510,14156585
54T,"Bryan, Mike",782510,0,782510,13931405
56,"Chardy, Jeremy",763033,656384,106649,6439026
57,"Edmund, Kyle",742013,729009,13004,1152596
58,"Kontinen, Henri",739793,0,739793,1228758
59,"Delbonis, Federico",738006,681685,56321,2393364
60,"Mayer, Florian",721689,695103,26586,6186630
61,"Seppi, Andreas",714984,570779,144205,8160172
62,"Mannarino, Adrian",702599,615702,86897,3424991
63,"Melo, Marcelo",701488,0,701488,3890723
64,"Peers, John",701162,0,701162,1819041
65,"Pella, Guido",679413,612906,66507,1412887
66,"Coric, Borna",679372,672058,7314,1605559
67,"Vesely, Jiri",676329,636567,39762,2135476
68,"Anderson, Kevin",646740,636955,9785,7383675
69,"Lopez, Marc",646689,0,646689,3472861
70,"Bellucci, Thomaz",592365,517431,74934,4686457
